Localidade;Rede;Taxa de Aprovação - 2015;Taxa de Aprovação - 2017;Taxa de Aprovação - 2019;SAEB - 2015;SAEB - 2017;SAEB - 2019;IDEB 2015;IDEB 2017;IDEB 2019;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Cândido Mota;Pública;0,99;1,00;1,00;6,61;6,56;6,98;6,6;6,5;7,0;6,3;6,5;6,7;7,0;1º ao 5º ano;3510005
Cândido Rodrigues;Municipal;0,99;1,00;1,00;6,64;7,10;6,89;6,6;7,1;6,9;6,2;6,5;6,7;6,9;1º ao 5º ano;3510104
Cândido Rodrigues;Pública;0,99;1,00;1,00;6,64;7,10;6,89;6,6;7,1;6,9;6,2;6,5;6,7;6,9;1º ao 5º ano;3510104
Canitar;Municipal;1,00;0,98;1,00;6,29;6,36;7,34;6,3;6,2;7,3;5,1;5,4;5,7;6,0;1º ao 5º ano;3510153
Canitar;Pública;1,00;0,98;1,00;6,29;6,36;7,34;6,3;6,2;7,3;5,1;5,4;5,7;6,0;1º ao 5º ano;3510153
Capão Bonito;Municipal;0,99;0,98;0,99;6,66;6,87;6,76;6,6;6,7;6,7;6,0;6,2;6,4;6,7;1º ao 5º ano;3510203
Capão Bonito;Pública;0,99;0,98;0,99;6,66;6,87;6,76;6,6;6,7;6,7;6,0;6,2;6,4;6,7;1º ao 5º ano;3510203
Capela do Alto;Municipal;0,99;0,99;1,00;6,48;6,42;6,45;6,4;6,4;6,4;5,9;6,1;6,4;6,6;1º ao 5º ano;3510302
Capela do Alto;Pública;0,99;0,99;1,00;6,48;6,42;6,45;6,4;6,4;6,4;5,9;6,1;6,4;6,6;1º ao 5º ano;3510302
Capivari;Municipal;0,93;0,94;0,93;6,63;6,88;6,88;6,2;6,5;6,4;5,4;5,7;6,0;6,2;1º ao 5º ano;3510401
Capivari;Pública;0,93;0,94;0,93;6,63;6,88;6,88;6,2;6,5;6,4;5,4;5,7;6,0;6,2;1º ao 5º ano;3510401
Caraguatatuba;Municipal;0,98;0,98;0,99;6,37;6,55;6,76;6,2;6,4;6,7;5,7;5,9;6,2;6,5;1º ao 5º ano;3510500
Caraguatatuba;Pública;0,98;0,98;0,99;6,37;6,55;6,76;6,2;6,4;6,7;5,7;5,9;6,2;6,5;1º ao 5º ano;3510500
Carapicuíba;Estadual;0,99;0,99;0,99;6,16;6,41;6,44;6,1;6,3;6,4;5,9;6,1;6,4;6,6;1º ao 5º ano;3510609
Carapicuíba;Municipal;0,98;0,98;0,99;5,61;5,87;6,22;5,5;5,8;6,2;5,7;6,0;6,2;6,5;1º ao 5º ano;3510609
Carapicuíba;Pública;0,99;0,99;0,99;6,04;6,30;6,39;5,9;6,2;6,3;5,8;6,1;6,3;6,6;1º ao 5º ano;3510609
Cardoso;Estadual;;1,00;;;;;;;;;;;;1º ao 5º ano;3510708
Cardoso;Municipal;0,97;0,95;0,93;6,59;7,21;7,14;6,4;6,8;6,6;6,5;6,7;7,0;7,2;1º ao 5º ano;3510708
Cardoso;Pública;0,97;0,95;0,94;6,59;7,21;7,14;6,4;6,8;6,7;6,5;6,8;7,0;7,2;1º ao 5º ano;3510708
Casa Branca;Estadual;0,99;0,98;;6,37;6,36;;6,3;6,3;;6,3;6,5;6,8;7,0;1º ao 5º ano;3510807
Casa Branca;Municipal;0,94;0,97;0,99;5,78;6,36;6,12;5,5;6,1;6,1;5,8;6,0;6,3;6,5;1º ao 5º ano;3510807
Casa Branca;Pública;0,98;0,98;0,99;6,25;6,36;6,12;6,1;6,2;6,1;6,2;6,4;6,6;6,9;1º ao 5º ano;3510807
Cássia dos Coqueiros;Municipal;0,94;0,87;0,91;6,12;6,24;5,67;5,8;5,5;5,1;6,3;6,5;6,7;6,9;1º ao 5º ano;3510906
Cássia dos Coqueiros;Pública;0,94;0,87;0,91;6,12;6,24;5,67;5,8;5,5;5,1;6,3;6,5;6,7;6,9;1º ao 5º ano;3510906
Castilho;Municipal;0,99;0,99;0,98;6,57;7,00;6,58;6,5;6,9;6,5;6,0;6,3;6,5;6,7;1º ao 5º ano;3511003
