Localidade;Rede;Taxa de Aprovação - 2015;Taxa de Aprovação - 2017;Taxa de Aprovação - 2019;SAEB - 2015;SAEB - 2017;SAEB - 2019;IDEB 2015;IDEB 2017;IDEB 2019;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Santa Bárbara d'Oeste;Estadual;0,99;0,99;0,99;7,05;6,92;7,06;7,0;6,8;7,0;6,6;6,8;7,0;7,2;1º ao 5º ano;3545803
Santa Bárbara d'Oeste;Municipal;0,98;0,99;0,99;7,00;7,16;7,14;6,9;7,1;7,0;6,4;6,6;6,8;7,0;1º ao 5º ano;3545803
Santa Bárbara d'Oeste;Pública;0,98;0,99;0,99;7,01;7,12;7,13;6,9;7,0;7,0;6,5;6,7;6,9;7,1;1º ao 5º ano;3545803
Santa Branca;Municipal;0,94;0,95;0,95;6,24;7,07;6,59;5,9;6,7;6,3;5,5;5,8;6,1;6,3;1º ao 5º ano;3546009
Santa Branca;Pública;0,94;0,95;0,95;6,24;7,07;6,59;5,9;6,7;6,3;5,5;5,8;6,1;6,3;1º ao 5º ano;3546009
Santa Clara d'Oeste;Estadual;;;;;;;;;;6,1;6,3;6,5;6,8;1º ao 5º ano;3546108
Santa Clara d'Oeste;Municipal;;1,00;0,97;;6,40;7,00;;6,4;6,8;6,8;7,0;7,2;7,4;1º ao 5º ano;3546108
Santa Clara d'Oeste;Pública;0,99;1,00;0,97;;6,40;7,00;;6,4;6,8;6,1;6,3;6,5;6,8;1º ao 5º ano;3546108
Santa Cruz da Conceição;Municipal;0,94;0,96;0,96;6,68;7,10;7,41;6,3;6,8;7,1;6,1;6,3;6,6;6,8;1º ao 5º ano;3546207
Santa Cruz da Conceição;Pública;0,94;0,96;0,96;6,68;7,10;7,41;6,3;6,8;7,1;6,1;6,3;6,6;6,8;1º ao 5º ano;3546207
Santa Cruz da Esperança;Municipal;0,99;0,98;0,98;5,83;6,08;6,54;5,8;5,9;6,4;5,1;5,4;5,7;6,0;1º ao 5º ano;3546256
Santa Cruz da Esperança;Pública;0,99;0,98;0,98;5,83;6,08;6,54;5,8;5,9;6,4;5,1;5,4;5,7;6,0;1º ao 5º ano;3546256
Santa Cruz das Palmeiras;Municipal;1,00;1,00;1,00;6,63;6,54;6,73;6,6;6,5;6,7;5,9;6,2;6,4;6,7;1º ao 5º ano;3546306
Santa Cruz das Palmeiras;Pública;1,00;1,00;1,00;6,63;6,54;6,73;6,6;6,5;6,7;5,9;6,2;6,4;6,7;1º ao 5º ano;3546306
Santa Cruz do Rio Pardo;Estadual;1,00;1,00;1,00;7,29;6,55;6,86;7,3;6,6;6,9;6,9;7,1;7,3;7,5;1º ao 5º ano;3546405
Santa Cruz do Rio Pardo;Municipal;0,99;0,99;1,00;6,80;6,89;7,30;6,7;6,9;7,3;5,6;5,9;6,1;6,4;1º ao 5º ano;3546405
Santa Cruz do Rio Pardo;Pública;0,99;1,00;1,00;6,97;6,78;7,15;6,9;6,8;7,1;6,1;6,4;6,6;6,8;1º ao 5º ano;3546405
Santa Ernestina;Municipal;1,00;1,00;1,00;6,67;6,71;6,50;6,7;6,7;6,5;5,7;6,0;6,2;6,5;1º ao 5º ano;3546504
Santa Ernestina;Pública;1,00;1,00;1,00;6,67;6,71;6,50;6,7;6,7;6,5;5,7;6,0;6,2;6,5;1º ao 5º ano;3546504
Santa Fé do Sul;Municipal;0,99;0,98;0,99;6,68;7,11;6,70;6,6;7,0;6,6;6,0;6,2;6,5;6,7;1º ao 5º ano;3546603
Santa Fé do Sul;Pública;0,99;0,98;0,99;6,68;7,11;6,70;6,6;7,0;6,6;6,0;6,2;6,5;6,7;1º ao 5º ano;3546603
Santa Gertrudes;Municipal;0,96;0,96;0,96;6,89;7,04;6,93;6,6;6,7;6,7;6,1;6,4;6,6;6,8;1º ao 5º ano;3546702
Santa Gertrudes;Pública;0,96;0,96;0,96;6,89;7,04;6,93;6,6;6,7;6,7;6,1;6,4;6,6;6,8;1º ao 5º ano;3546702
Santa Isabel;Estadual;;;;;;;;;;6,2;6,4;6,6;6,9;1º ao 5º ano;3546801
Santa Isabel;Municipal;0,92;0,95;0,96;6,47;6,92;6,98;6,0;6,6;6,7;5,5;5,8;6,0;6,3;1º ao 5º ano;3546801
Santa Isabel;Pública;0,92;0,95;0,96;6,47;6,92;6,98;6,0;6,6;6,7;6,0;6,2;6,5;6,7;1º ao 5º ano;3546801
Santa Lúcia;Municipal;0,98;0,98;0,98;6,13;6,51;6,90;6,0;6,4;6,7;6,4;6,6;6,8;7,1;1º ao 5º ano;3546900
Santa Lúcia;Pública;0,98;0,98;0,98;6,13;6,51;6,90;6,0;6,4;6,7;6,4;6,6;6,8;7,1;1º ao 5º ano;3546900
Santa Maria da Serra;Estadual;;;;;;;;;;6,8;7,0;7,2;7,4;1º ao 5º ano;3547007
Santa Maria da Serra;Municipal;0,91;0,94;0,98;6,06;5,72;6,50;5,5;5,4;6,4;5,7;5,9;6,1;6,4;1º ao 5º ano;3547007
Santa Maria da Serra;Pública;0,91;0,94;0,98;6,06;5,72;6,50;5,5;5,4;6,4;6,8;7,0;7,2;7,4;1º ao 5º ano;3547007
Santa Mercedes;Municipal;0,97;0,98;1,00;6,44;6,78;6,90;6,2;6,7;6,9;5,7;5,9;6,2;6,4;1º ao 5º ano;3547106
Santa Mercedes;Pública;0,97;0,98;1,00;6,44;6,78;6,90;6,2;6,7;6,9;5,7;5,9;6,2;6,4;1º ao 5º ano;3547106
Santana da Ponte Pensa;Estadual;;1,00;1,00;;8,17;8,28;;8,2;8,3;6,5;6,7;6,9;7,1;1º ao 5º ano;3547205
Santana da Ponte Pensa;Pública;;1,00;1,00;;8,17;8,28;;8,2;8,3;6,5;6,7;6,9;7,1;1º ao 5º ano;3547205
Santana de Parnaíba;Municipal;0,95;0,99;1,00;5,98;6,62;6,39;5,7;6,6;6,4;5,7;5,9;6,2;6,4;1º ao 5º ano;3547304
Santana de Parnaíba;Pública;0,95;0,99;1,00;5,98;6,62;6,39;5,7;6,6;6,4;5,7;5,9;6,2;6,4;1º ao 5º ano;3547304
Santa Rita d'Oeste;Municipal;0,98;0,98;1,00;6,74;6,18;7,24;6,6;6,1;7,2;6,9;7,1;7,3;7,5;1º ao 5º ano;3547403
Santa Rita d'Oeste;Pública;0,98;0,98;1,00;6,74;6,18;7,24;6,6;6,1;7,2;6,9;7,1;7,3;7,5;1º ao 5º ano;3547403
Santa Rita do Passa Quatro;Municipal;0,94;0,98;0,99;6,54;6,73;6,58;6,1;6,6;6,5;6,2;6,4;6,7;6,9;1º ao 5º ano;3547502
Santa Rita do Passa Quatro;Pública;0,94;0,98;0,99;6,54;6,73;6,58;6,1;6,6;6,5;6,2;6,4;6,7;6,9;1º ao 5º ano;3547502
Santa Rosa de Viterbo;Estadual;;;;;;;;;;5,9;6,2;6,4;6,7;1º ao 5º ano;3547601
Santa Rosa de Viterbo;Municipal;0,97;0,96;0,98;6,04;6,30;6,24;5,9;6,0;6,1;5,8;6,0;6,3;6,5;1º ao 5º ano;3547601
Santa Rosa de Viterbo;Pública;0,97;0,96;0,98;6,04;6,30;6,24;5,9;6,0;6,1;5,9;6,1;6,4;6,6;1º ao 5º ano;3547601
Santa Salete;Estadual;1,00;1,00;1,00;7,63;7,85;7,84;7,6;7,8;7,8;6,8;7,0;7,2;7,4;1º ao 5º ano;3547650
Santa Salete;Pública;1,00;1,00;1,00;7,63;7,85;7,84;7,6;7,8;7,8;6,8;7,0;7,2;7,4;1º ao 5º ano;3547650
Santo Anastácio;Estadual;;;;;;;;;;5,9;6,2;6,4;6,7;1º ao 5º ano;3547700
Santo Anastácio;Municipal;0,99;0,98;0,99;6,34;6,35;6,65;6,3;6,2;6,6;6,4;6,6;6,8;7,0;1º ao 5º ano;3547700
Santo Anastácio;Pública;0,99;0,98;0,99;6,34;6,35;6,65;6,3;6,2;6,6;5,9;6,2;6,4;6,7;1º ao 5º ano;3547700
Santo André;Estadual;0,99;0,98;0,99;6,82;6,80;6,90;6,7;6,7;6,8;6,3;6,5;6,7;6,9;1º ao 5º ano;3547809
Santo André;Municipal;0,97;0,97;0,97;6,40;6,56;6,49;6,2;6,4;6,3;6,0;6,3;6,5;6,8;1º ao 5º ano;3547809
Santo André;Pública;0,98;0,98;0,98;6,58;6,66;6,69;6,4;6,5;6,5;6,2;6,4;6,7;6,9;1º ao 5º ano;3547809
Santo Antônio da Alegria;Municipal;0,99;0,99;0,99;7,07;7,23;6,96;7,0;7,2;6,9;6,2;6,5;6,7;6,9;1º ao 5º ano;3547908
Santo Antônio da Alegria;Pública;0,99;0,99;0,99;7,07;7,23;6,96;7,0;7,2;6,9;6,2;6,5;6,7;6,9;1º ao 5º ano;3547908
Santo Antônio de Posse;Municipal;0,90;0,88;0,89;6,23;6,50;6,56;5,6;5,7;5,9;5,7;6,0;6,2;6,5;1º ao 5º ano;3548005
Santo Antônio de Posse;Pública;0,90;0,88;0,89;6,23;6,50;6,56;5,6;5,7;5,9;5,7;6,0;6,2;6,5;1º ao 5º ano;3548005
Santo Antônio do Aracanguá;Municipal;0,97;0,96;0,96;6,69;6,99;6,69;6,5;6,7;6,4;5,2;5,5;5,8;6,0;1º ao 5º ano;3548054
Santo Antônio do Aracanguá;Pública;0,97;0,96;0,96;6,69;6,99;6,69;6,5;6,7;6,4;5,2;5,5;5,8;6,0;1º ao 5º ano;3548054
Santo Antônio do Jardim;Estadual;;1,00;;;;;;;;;;;;1º ao 5º ano;3548104
Santo Antônio do Jardim;Municipal;0,95;0,96;0,98;6,97;7,30;7,55;6,7;7,0;7,4;6,7;6,9;7,1;7,3;1º ao 5º ano;3548104
Santo Antônio do Jardim;Pública;0,96;0,97;0,98;6,97;7,30;7,55;6,7;7,1;7,4;6,7;6,9;7,1;7,3;1º ao 5º ano;3548104
Santo Antônio do Pinhal;Municipal;0,97;0,98;0,96;6,54;6,69;6,74;6,3;6,6;6,5;6,0;6,3;6,5;6,8;1º ao 5º ano;3548203
Santo Antônio do Pinhal;Pública;0,97;0,98;0,96;6,54;6,69;6,74;6,3;6,6;6,5;6,0;6,3;6,5;6,8;1º ao 5º ano;3548203
Santo Expedito;Estadual;;;;;;;;;;5,4;5,7;5,9;6,2;1º ao 5º ano;3548302
Santo Expedito;Municipal;1,00;0,86;1,00;5,50;6,12;;5,5;5,3;;5,5;5,7;6,0;6,2;1º ao 5º ano;3548302
Santo Expedito;Pública;1,00;0,86;1,00;5,50;6,12;;5,5;5,3;;5,4;5,7;5,9;6,2;1º ao 5º ano;3548302
Santópolis do Aguapeí;Municipal;0,95;0,98;0,97;7,28;7,24;8,04;6,9;7,1;7,8;5,9;6,2;6,4;6,7;1º ao 5º ano;3548401
Santópolis do Aguapeí;Pública;0,95;0,98;0,97;7,28;7,24;8,04;6,9;7,1;7,8;5,9;6,2;6,4;6,7;1º ao 5º ano;3548401
Santos;Estadual;0,99;0,95;0,98;5,55;5,53;;5,5;5,2;;5,2;5,5;5,7;6,0;1º ao 5º ano;3548500
Santos;Municipal;0,97;0,97;0,97;6,31;6,22;6,02;6,1;6,0;5,8;5,7;6,0;6,2;6,5;1º ao 5º ano;3548500
Santos;Pública;0,97;0,97;0,97;6,28;6,22;6,03;6,1;6,0;5,8;5,7;6,0;6,2;6,5;1º ao 5º ano;3548500
São Bento do Sapucaí;Municipal;0,94;0,98;0,97;6,75;6,58;6,68;6,4;6,5;6,5;5,7;6,0;6,3;6,5;1º ao 5º ano;3548609
São Bento do Sapucaí;Pública;0,94;0,98;0,97;6,75;6,58;6,68;6,4;6,5;6,5;5,7;6,0;6,3;6,5;1º ao 5º ano;3548609
São Bernardo do Campo;Municipal;0,97;0,97;0,98;6,97;7,08;7,05;6,8;6,9;6,9;6,1;6,4;6,6;6,8;1º ao 5º ano;3548708
São Bernardo do Campo;Pública;0,97;0,97;0,98;6,97;7,08;7,05;6,8;6,9;6,9;6,1;6,4;6,6;6,8;1º ao 5º ano;3548708
São Caetano do Sul;Estadual;;;;;;;;;;6,6;6,8;7,0;7,2;1º ao 5º ano;3548807
São Caetano do Sul;Municipal;0,98;0,98;0,98;7,39;7,73;7,45;7,2;7,5;7,3;6,6;6,8;7,0;7,2;1º ao 5º ano;3548807
São Caetano do Sul;Pública;0,98;0,98;0,98;7,39;7,73;7,45;7,2;7,5;7,3;6,6;6,8;7,0;7,2;1º ao 5º ano;3548807
São Carlos;Estadual;1,00;1,00;1,00;7,18;7,27;7,27;7,2;7,2;7,3;6,6;6,8;7,0;7,2;1º ao 5º ano;3548906
São Carlos;Municipal;0,96;0,97;0,97;6,76;7,23;6,98;6,5;7,0;6,8;6,0;6,2;6,5;6,7;1º ao 5º ano;3548906
São Carlos;Pública;0,98;0,98;0,99;6,96;7,25;7,15;6,8;7,1;7,1;6,4;6,6;6,8;7,0;1º ao 5º ano;3548906
São Francisco;Estadual;0,99;1,00;0,99;7,28;7,27;7,01;7,2;7,3;7,0;5,9;6,2;6,4;6,7;1º ao 5º ano;3549003
São Francisco;Pública;0,99;1,00;0,99;7,28;7,27;7,01;7,2;7,3;7,0;5,9;6,2;6,4;6,7;1º ao 5º ano;3549003
São João da Boa Vista;Estadual;;;;;;;;;;6,4;6,7;6,9;7,1;1º ao 5º ano;3549102
São João da Boa Vista;Municipal;0,99;0,98;0,99;6,74;6,87;7,05;6,7;6,8;6,9;6,5;6,7;6,9;7,1;1º ao 5º ano;3549102
São João da Boa Vista;Pública;0,99;0,98;0,99;6,74;6,87;7,05;6,7;6,8;6,9;6,5;6,7;6,9;7,1;1º ao 5º ano;3549102
São João das Duas Pontes;Municipal;0,97;0,98;0,93;6,82;6,40;6,64;6,6;6,3;6,2;7,3;7,4;7,6;7,8;1º ao 5º ano;3549201
São João das Duas Pontes;Pública;0,97;0,98;0,93;6,82;6,40;6,64;6,6;6,3;6,2;7,3;7,4;7,6;7,8;1º ao 5º ano;3549201
São João de Iracema;Estadual;;;;;;;;;;5,7;5,9;6,2;6,4;1º ao 5º ano;3549250
São João de Iracema;Municipal;0,99;0,99;1,00;6,92;7,12;6,39;6,9;7,0;6,4;6,3;6,5;6,7;6,9;1º ao 5º ano;3549250
São João de Iracema;Pública;0,99;0,99;1,00;6,92;7,12;6,39;6,9;7,0;6,4;5,7;5,9;6,2;6,4;1º ao 5º ano;3549250
São João do Pau d'Alho;Estadual;;;;;;;;;;5,7;6,0;6,2;6,5;1º ao 5º ano;3549300
São João do Pau d'Alho;Municipal;;1,00;1,00;;7,17;6,28;;7,2;6,3;6,3;6,5;6,7;7,0;1º ao 5º ano;3549300
São João do Pau d'Alho;Pública;;1,00;1,00;;7,17;6,28;;7,2;6,3;5,7;6,0;6,2;6,5;1º ao 5º ano;3549300
São Joaquim da Barra;Estadual;0,98;0,98;0,99;6,78;6,77;7,06;6,6;6,6;7,0;5,7;6,0;6,3;6,5;1º ao 5º ano;3549409
São Joaquim da Barra;Municipal;;;0,98;;;6,10;;;6,0;;;;6,2;1º ao 5º ano;3549409
São Joaquim da Barra;Pública;0,98;0,98;0,99;6,78;6,77;6,80;6,7;6,7;6,7;5,7;6,0;6,3;6,5;1º ao 5º ano;3549409
São José da Bela Vista;Municipal;0,94;0,93;0,97;5,83;6,06;5,93;5,5;5,6;5,8;5,4;5,7;6,0;6,2;1º ao 5º ano;3549508
São José da Bela Vista;Pública;0,94;0,93;0,97;5,83;6,06;5,93;5,5;5,6;5,8;5,4;5,7;6,0;6,2;1º ao 5º ano;3549508
São José do Barreiro;Municipal;0,95;0,94;0,96;5,51;5,27;6,29;5,2;4,9;6,0;5,3;5,6;5,9;6,1;1º ao 5º ano;3549607
São José do Barreiro;Pública;0,95;0,94;0,96;5,51;5,27;6,29;5,2;4,9;6,0;5,3;5,6;5,9;6,1;1º ao 5º ano;3549607
São José do Rio Pardo;Estadual;0,98;0,97;0,98;6,56;6,85;6,66;6,4;6,7;6,5;6,2;6,5;6,7;6,9;1º ao 5º ano;3549706
São José do Rio Pardo;Municipal;0,97;0,97;0,98;6,47;6,87;6,37;6,3;6,7;6,2;5,6;5,8;6,1;6,4;1º ao 5º ano;3549706
São José do Rio Pardo;Pública;0,98;0,97;0,98;6,53;6,86;6,49;6,4;6,7;6,4;6,0;6,2;6,5;6,7;1º ao 5º ano;3549706
São José do Rio Preto;Estadual;1,00;0,99;;6,95;7,14;;6,9;7,1;;6,2;6,4;6,6;6,9;1º ao 5º ano;3549805
São José do Rio Preto;Municipal;0,98;0,98;0,98;6,81;7,09;6,82;6,7;6,9;6,7;6,4;6,6;6,9;7,1;1º ao 5º ano;3549805
São José do Rio Preto;Pública;0,98;0,98;0,98;6,82;7,09;6,82;6,7;6,9;6,7;6,4;6,6;6,8;7,0;1º ao 5º ano;3549805
São José dos Campos;Estadual;0,99;0,99;0,99;6,56;6,91;7,00;6,5;6,8;6,9;6,1;6,3;6,6;6,8;1º ao 5º ano;3549904
São José dos Campos;Municipal;0,99;0,99;1,00;6,81;7,00;7,09;6,7;7,0;7,1;6,4;6,7;6,9;7,1;1º ao 5º ano;3549904
São José dos Campos;Pública;0,99;0,99;0,99;6,71;6,96;7,05;6,6;6,9;7,0;6,2;6,5;6,7;6,9;1º ao 5º ano;3549904
São Lourenço da Serra;Municipal;0,97;0,98;0,97;6,38;6,75;6,55;6,2;6,6;6,4;6,0;6,3;6,5;6,8;1º ao 5º ano;3549953
São Lourenço da Serra;Pública;0,97;0,98;0,97;6,38;6,75;6,55;6,2;6,6;6,4;6,0;6,3;6,5;6,8;1º ao 5º ano;3549953
São Luiz do Paraitinga;Municipal;0,95;0,93;0,96;6,31;6,51;7,37;6,0;6,0;7,1;5,6;5,8;6,1;6,3;1º ao 5º ano;3550001
São Luiz do Paraitinga;Pública;0,95;0,93;0,96;6,31;6,51;7,37;6,0;6,0;7,1;5,6;5,8;6,1;6,3;1º ao 5º ano;3550001
São Manuel;Municipal;0,98;0,98;0,97;6,28;6,57;6,74;6,1;6,4;6,5;5,9;6,2;6,4;6,6;1º ao 5º ano;3550100
São Manuel;Pública;0,98;0,98;0,97;6,28;6,57;6,74;6,1;6,4;6,5;5,9;6,2;6,4;6,6;1º ao 5º ano;3550100
São Miguel Arcanjo;Estadual;;;1,00;;;6,99;;;7,0;;;;7,2;1º ao 5º ano;3550209
São Miguel Arcanjo;Municipal;0,95;0,99;;7,05;6,72;;6,7;6,6;;6,0;6,2;6,5;6,7;1º ao 5º ano;3550209
São Miguel Arcanjo;Pública;0,95;0,99;1,00;7,05;6,72;6,99;6,7;6,6;7,0;6,0;6,2;6,5;6,7;1º ao 5º ano;3550209
São Paulo;Federal;0,99;1,00;0,99;6,59;7,18;7,50;6,5;7,2;7,4;6,2;6,5;6,7;6,9;1º ao 5º ano;3550308
São Paulo;Estadual;0,98;0,98;0,99;6,41;6,57;6,57;6,3;6,5;6,5;5,9;6,2;6,4;6,6;1º ao 5º ano;3550308
São Paulo;Municipal;0,97;0,98;0,98;5,96;6,16;6,11;5,8;6,0;6,0;5,4;5,7;6,0;6,2;1º ao 5º ano;3550308
São Paulo;Pública;0,98;0,98;0,99;6,22;6,39;6,37;6,1;6,3;6,3;5,7;5,9;6,2;6,4;1º ao 5º ano;3550308
São Pedro;Municipal;0,93;0,93;0,95;6,42;6,65;6,86;6,0;6,2;6,5;5,6;5,9;6,2;6,4;1º ao 5º ano;3550407
São Pedro;Pública;0,93;0,93;0,95;6,42;6,65;6,86;6,0;6,2;6,5;5,6;5,9;6,2;6,4;1º ao 5º ano;3550407
São Pedro do Turvo;Municipal;0,92;0,99;0,99;6,82;7,53;7,74;6,3;7,5;7,7;5,7;5,9;6,2;6,4;1º ao 5º ano;3550506
São Pedro do Turvo;Pública;0,92;0,99;0,99;6,82;7,53;7,74;6,3;7,5;7,7;5,7;5,9;6,2;6,4;1º ao 5º ano;3550506
São Roque;Municipal;0,93;0,93;0,94;6,11;6,37;6,44;5,7;5,9;6,1;5,8;6,0;6,3;6,5;1º ao 5º ano;3550605
São Roque;Pública;0,93;0,93;0,94;6,11;6,37;6,44;5,7;5,9;6,1;5,8;6,0;6,3;6,5;1º ao 5º ano;3550605
São Sebastião;Municipal;0,97;0,98;0,98;5,81;6,17;6,41;5,7;6,1;6,3;5,5;5,7;6,0;6,3;1º ao 5º ano;3550704
São Sebastião;Pública;0,97;0,98;0,98;5,81;6,17;6,41;5,7;6,1;6,3;5,5;5,7;6,0;6,3;1º ao 5º ano;3550704
São Sebastião da Grama;Municipal;0,90;0,99;0,99;6,57;7,30;6,95;5,9;7,2;6,9;5,7;5,9;6,2;6,4;1º ao 5º ano;3550803
São Sebastião da Grama;Pública;0,90;0,99;0,99;6,57;7,30;6,95;5,9;7,2;6,9;5,7;5,9;6,2;6,4;1º ao 5º ano;3550803
São Simão;Estadual;0,97;0,98;1,00;6,24;6,49;6,47;6,1;6,4;6,5;5,9;6,1;6,4;6,6;1º ao 5º ano;3550902
São Simão;Municipal;0,93;0,89;0,88;6,15;6,36;6,64;5,7;5,6;5,9;4,9;5,2;5,5;5,7;1º ao 5º ano;3550902
São Simão;Pública;0,94;0,91;0,90;6,18;6,39;6,60;5,8;5,8;6,0;5,4;5,7;5,9;6,2;1º ao 5º ano;3550902
São Vicente;Estadual;0,94;0,95;0,97;6,47;6,48;7,11;6,1;6,2;6,9;6,1;6,3;6,6;6,8;1º ao 5º ano;3551009
São Vicente;Municipal;0,90;0,93;0,94;5,92;6,22;6,09;5,3;5,8;5,7;5,9;6,2;6,4;6,6;1º ao 5º ano;3551009
São Vicente;Pública;0,90;0,93;0,94;5,95;6,23;6,13;5,4;5,8;5,8;5,9;6,2;6,4;6,6;1º ao 5º ano;3551009
Sarapuí;Estadual;;;;;;;;;;5,7;5,9;6,2;6,4;1º ao 5º ano;3551108
Sarapuí;Municipal;0,96;0,98;0,98;6,37;6,05;6,28;6,1;5,9;6,2;6,1;6,3;6,6;6,8;1º ao 5º ano;3551108
Sarapuí;Pública;0,96;0,98;0,98;6,37;6,05;6,28;6,1;5,9;6,2;6,1;6,4;6,6;6,8;1º ao 5º ano;3551108
Sarutaiá;Municipal;1,00;0,99;0,95;6,04;5,99;6,73;6,0;5,9;6,4;5,2;5,5;5,7;6,0;1º ao 5º ano;3551207
Sarutaiá;Pública;1,00;0,99;0,95;6,04;5,99;6,73;6,0;5,9;6,4;5,2;5,5;5,7;6,0;1º ao 5º ano;3551207
Sebastianópolis do Sul;Municipal;0,98;0,99;1,00;7,03;7,13;8,37;6,9;7,1;8,3;7,0;7,2;7,4;7,5;1º ao 5º ano;3551306
Sebastianópolis do Sul;Pública;0,98;0,99;1,00;7,03;7,13;8,37;6,9;7,1;8,3;7,0;7,2;7,4;7,5;1º ao 5º ano;3551306
Serra Azul;Municipal;0,90;0,90;0,95;5,86;6,33;5,77;5,3;5,7;5,5;5,1;5,3;5,6;5,9;1º ao 5º ano;3551405
Serra Azul;Pública;0,90;0,90;0,95;5,86;6,33;5,77;5,3;5,7;5,5;5,1;5,3;5,6;5,9;1º ao 5º ano;3551405
Serrana;Municipal;0,97;0,98;0,97;6,44;6,28;6,31;6,3;6,2;6,1;5,6;5,8;6,1;6,4;1º ao 5º ano;3551504
Serrana;Pública;0,97;0,98;0,97;6,44;6,28;6,31;6,3;6,2;6,1;5,6;5,8;6,1;6,4;1º ao 5º ano;3551504
Serra Negra;Estadual;0,99;0,99;0,99;6,73;6,88;7,05;6,7;6,8;7,0;5,6;5,9;6,1;6,4;1º ao 5º ano;3551603
Serra Negra;Pública;0,99;0,99;0,99;6,73;6,88;7,05;6,7;6,8;7,0;5,6;5,9;6,1;6,4;1º ao 5º ano;3551603
Sertãozinho;Estadual;;1,00;;;;;;;;;;;;1º ao 5º ano;3551702
Sertãozinho;Municipal;0,93;0,95;0,92;7,23;7,62;7,50;6,7;7,2;6,9;6,2;6,4;6,7;6,9;1º ao 5º ano;3551702
Sertãozinho;Pública;0,93;0,95;0,92;7,23;7,62;7,50;6,7;7,2;6,9;6,2;6,4;6,7;6,9;1º ao 5º ano;3551702
Sete Barras;Estadual;;1,00;;;;;;;;;;;;1º ao 5º ano;3551801
Sete Barras;Municipal;0,97;0,97;0,97;6,11;6,26;6,15;5,9;6,1;6,0;6,6;6,8;7,0;7,2;1º ao 5º ano;3551801
Sete Barras;Pública;0,97;0,97;0,97;6,11;6,26;6,15;5,9;6,1;6,0;6,6;6,8;7,0;7,2;1º ao 5º ano;3551801
Severínia;Municipal;0,98;1,00;1,00;5,84;6,45;6,49;5,7;6,4;6,5;5,8;6,0;6,3;6,5;1º ao 5º ano;3551900
Severínia;Pública;0,98;1,00;1,00;5,84;6,45;6,49;5,7;6,4;6,5;5,8;6,0;6,3;6,5;1º ao 5º ano;3551900
Silveiras;Municipal;0,92;0,94;0,95;6,22;5,88;6,21;5,7;5,5;5,9;6,0;6,3;6,5;6,7;1º ao 5º ano;3552007
Silveiras;Pública;0,92;0,94;0,95;6,22;5,88;6,21;5,7;5,5;5,9;6,0;6,3;6,5;6,7;1º ao 5º ano;3552007
Socorro;Estadual;;1,00;;;;;;;;;;;;1º ao 5º ano;3552106
Socorro;Municipal;0,99;1,00;1,00;7,08;7,55;7,46;7,0;7,5;7,5;5,9;6,2;6,4;6,7;1º ao 5º ano;3552106
Socorro;Pública;0,99;1,00;1,00;7,08;7,55;7,46;7,0;7,5;7,4;6,0;6,3;6,5;6,7;1º ao 5º ano;3552106
Sorocaba;Estadual;0,99;1,00;1,00;6,72;6,82;6,98;6,7;6,8;7,0;6,1;6,4;6,6;6,8;1º ao 5º ano;3552205
Sorocaba;Municipal;0,98;0,98;0,98;6,48;6,80;6,72;6,4;6,7;6,6;6,2;6,4;6,6;6,9;1º ao 5º ano;3552205
Sorocaba;Pública;0,99;0,99;0,98;6,55;6,80;6,78;6,5;6,7;6,7;6,1;6,4;6,6;6,8;1º ao 5º ano;3552205
Sud Mennucci;Municipal;0,99;1,00;1,00;6,27;7,06;6,92;6,2;7,0;6,9;7,0;7,2;7,4;7,6;1º ao 5º ano;3552304
Sud Mennucci;Pública;0,99;1,00;1,00;6,27;7,06;6,92;6,2;7,0;6,9;7,0;7,2;7,4;7,6;1º ao 5º ano;3552304
Sumaré;Estadual;0,98;0,98;0,99;6,25;6,71;6,72;6,2;6,6;6,7;6,1;6,3;6,6;6,8;1º ao 5º ano;3552403
Sumaré;Municipal;0,95;0,96;0,97;5,99;6,13;6,23;5,7;5,9;6,1;5,8;6,1;6,4;6,6;1º ao 5º ano;3552403
Sumaré;Pública;0,96;0,97;0,98;6,09;6,38;6,42;5,9;6,2;6,3;6,0;6,2;6,5;6,7;1º ao 5º ano;3552403
Suzano;Estadual;0,99;0,99;0,99;6,15;6,38;6,48;6,1;6,3;6,4;6,0;6,2;6,5;6,7;1º ao 5º ano;3552502
Suzano;Municipal;0,98;0,98;0,98;6,01;6,40;6,44;5,9;6,3;6,3;5,7;5,9;6,2;6,4;1º ao 5º ano;3552502
Suzano;Pública;0,99;0,99;0,99;6,10;6,38;6,47;6,0;6,3;6,4;6,0;6,2;6,5;6,7;1º ao 5º ano;3552502
Suzanápolis;Estadual;;;;;;;;;;5,7;5,9;6,2;6,4;1º ao 5º ano;3552551
Suzanápolis;Municipal;;0,98;0,98;;7,30;6,72;;7,1;6,6;5,5;5,8;6,0;6,3;1º ao 5º ano;3552551
Suzanápolis;Pública;0,91;0,98;0,98;;7,30;6,72;;7,1;6,6;5,7;5,9;6,2;6,4;1º ao 5º ano;3552551
Tabapuã;Municipal;0,97;0,98;0,99;7,62;8,04;7,65;7,4;7,9;7,5;6,5;6,7;6,9;7,1;1º ao 5º ano;3552601
Tabapuã;Pública;0,97;0,98;0,99;7,62;8,04;7,65;7,4;7,9;7,5;6,5;6,7;6,9;7,1;1º ao 5º ano;3552601
