Localidade;Rede;IDEB 2015;IDEB 2017;IDEB 2019;IDEB 2021;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Américo Brasiliense;Municipal;6,3;6,9;6,9;6,6;6,6;6,8;7,0;7,2;1º ao 5º ano;3501707
Américo Brasiliense;Pública;6,3;6,9;6,9;6,6;6,6;6,8;7,0;7,2;1º ao 5º ano;3501707
Américo de Campos;Municipal;5,6;6,2;6,3;6,6;6,2;6,5;6,7;6,9;1º ao 5º ano;3501806
Américo de Campos;Pública;5,6;6,2;6,3;6,6;6,2;6,5;6,7;6,9;1º ao 5º ano;3501806
Amparo;Estadual;6,9;7,0;7,5;6,8;6,1;6,4;6,6;6,8;1º ao 5º ano;3501905
Amparo;Municipal;6,7;6,9;6,5;6,3;5,7;6,0;6,2;6,5;1º ao 5º ano;3501905
Amparo;Pública;6,8;6,9;6,8;6,5;5,9;6,2;6,4;6,6;1º ao 5º ano;3501905
Analândia;Municipal;6,2;7,1;6,2;;6,0;6,2;6,5;6,7;1º ao 5º ano;3502002
Analândia;Pública;6,2;7,1;6,2;;6,0;6,2;6,5;6,7;1º ao 5º ano;3502002
Andradina;Municipal;6,3;7,1;7,0;6,0;6,1;6,3;6,5;6,8;1º ao 5º ano;3502101
Andradina;Pública;6,3;7,1;7,0;6,0;6,1;6,3;6,5;6,8;1º ao 5º ano;3502101
Angatuba;Estadual;6,7;6,8;6,3;6,2;5,5;5,8;6,1;6,3;1º ao 5º ano;3502200
Angatuba;Municipal;6,8;7,2;7,0;6,6;6,3;6,5;6,8;7,0;1º ao 5º ano;3502200
Angatuba;Pública;6,7;7,1;6,9;6,5;5,8;6,1;6,3;6,6;1º ao 5º ano;3502200
Anhembi;Municipal;5,8;5,6;6,1;5,0;5,6;5,9;6,1;6,4;1º ao 5º ano;3502309
Anhembi;Pública;5,8;5,6;6,1;5,0;5,6;5,9;6,1;6,4;1º ao 5º ano;3502309
Anhumas;Estadual;;;;;6,1;6,4;6,6;6,8;1º ao 5º ano;3502408
Anhumas;Municipal;6,6;6,5;7,2;7,0;6,4;6,6;6,8;7,1;1º ao 5º ano;3502408
Anhumas;Pública;6,6;6,5;7,2;7,0;6,1;6,4;6,6;6,8;1º ao 5º ano;3502408
Aparecida;Estadual;;;;;5,7;6,0;6,2;6,5;1º ao 5º ano;3502507
Aparecida;Municipal;6,2;6,7;6,7;6,3;5,8;6,1;6,3;6,6;1º ao 5º ano;3502507
Aparecida;Pública;6,2;6,7;6,7;6,3;5,8;6,0;6,3;6,5;1º ao 5º ano;3502507
Aparecida d'Oeste;Estadual;;;;;6,2;6,4;6,7;6,9;1º ao 5º ano;3502606
Aparecida d'Oeste;Municipal;6,3;6,7;6,7;6,3;6,5;6,7;6,9;7,1;1º ao 5º ano;3502606
Aparecida d'Oeste;Pública;6,3;6,7;6,7;6,3;6,2;6,4;6,7;6,9;1º ao 5º ano;3502606
Apiaí;Estadual;6,3;6,0;6,0;5,4;5,6;5,9;6,1;6,4;1º ao 5º ano;3502705
Apiaí;Municipal;6,2;6,8;6,7;6,1;6,4;6,6;6,9;7,1;1º ao 5º ano;3502705
Apiaí;Pública;6,2;6,4;6,5;5,8;5,9;6,1;6,4;6,6;1º ao 5º ano;3502705
Araçariguama;Municipal;5,8;6,3;6,3;5,7;5,6;5,9;6,1;6,4;1º ao 5º ano;3502754
Araçariguama;Pública;5,8;6,3;6,3;5,7;5,6;5,9;6,1;6,4;1º ao 5º ano;3502754
Araçatuba;Estadual;;;;;;;;;1º ao 5º ano;3502804
Araçatuba;Municipal;6,4;6,7;6,9;6,9;6,3;6,5;6,8;7,0;1º ao 5º ano;3502804
Araçatuba;Pública;6,4;6,7;6,9;6,9;6,4;6,6;6,8;7,0;1º ao 5º ano;3502804
Araçoiaba da Serra;Municipal;6,0;6,3;6,5;5,9;6,3;6,5;6,7;7,0;1º ao 5º ano;3502903
Araçoiaba da Serra;Pública;6,0;6,3;6,5;5,9;6,3;6,5;6,7;7,0;1º ao 5º ano;3502903
Aramina;Municipal;6,0;6,2;6,1;;5,4;5,7;6,0;6,2;1º ao 5º ano;3503000
Aramina;Pública;6,0;6,2;6,1;;5,4;5,7;6,0;6,2;1º ao 5º ano;3503000
Arandu;Municipal;5,6;5,8;5,7;5,2;5,9;6,1;6,4;6,6;1º ao 5º ano;3503109
Arandu;Pública;5,6;5,8;5,7;5,2;5,9;6,1;6,4;6,6;1º ao 5º ano;3503109
Arapeí;Municipal;5,7;4,8;5,3;4,9;4,9;5,2;5,4;5,7;1º ao 5º ano;3503158
Arapeí;Pública;5,7;4,8;5,3;4,9;4,9;5,2;5,4;5,7;1º ao 5º ano;3503158
Araraquara;Estadual;7,1;6,9;7,1;6,7;6,7;6,9;7,1;7,3;1º ao 5º ano;3503208
Araraquara;Municipal;5,9;6,1;6,3;5,9;6,2;6,5;6,7;6,9;1º ao 5º ano;3503208
Araraquara;Pública;6,5;6,5;6,7;6,3;6,5;6,7;6,9;7,2;1º ao 5º ano;3503208
Araras;Estadual;7,2;7,2;7,1;6,7;6,7;6,9;7,1;7,3;1º ao 5º ano;3503307
Araras;Municipal;6,6;6,6;7,0;6,4;6,2;6,4;6,6;6,9;1º ao 5º ano;3503307
Araras;Pública;6,8;6,8;7,0;6,5;6,4;6,6;6,8;7,0;1º ao 5º ano;3503307
ArcoÍris;Estadual;;;;;5,8;6,1;6,4;6,6;1º ao 5º ano;3503356
ArcoÍris;Municipal;;6,8;6,5;6,2;;;7,0;7,2;1º ao 5º ano;3503356
