Localidade;Rede;IDEB 2015;IDEB 2017;IDEB 2019;IDEB 2021;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Ocauçu;Estadual;;;;;5,7;5,9;6,2;6,4;1º ao 5º ano;3533700
Ocauçu;Municipal;7,4;7,2;7,1;6,1;5,8;6,1;6,3;6,6;1º ao 5º ano;3533700
Ocauçu;Pública;7,4;7,2;7,1;6,1;5,7;5,9;6,2;6,4;1º ao 5º ano;3533700
Óleo;Estadual;;;;;5,8;6,0;6,3;6,5;1º ao 5º ano;3533809
Óleo;Municipal;;6,5;5,4;7,1;5,3;5,6;5,8;6,1;1º ao 5º ano;3533809
Óleo;Pública;;6,5;5,4;7,1;5,9;6,1;6,4;6,6;1º ao 5º ano;3533809
Olímpia;Municipal;6,5;6,8;6,9;6,3;6,0;6,3;6,5;6,7;1º ao 5º ano;3533908
Olímpia;Pública;6,5;6,8;6,9;6,3;6,0;6,3;6,5;6,7;1º ao 5º ano;3533908
Onda Verde;Municipal;6,7;6,5;6,4;5,9;6,2;6,5;6,7;6,9;1º ao 5º ano;3534005
Onda Verde;Pública;6,7;6,5;6,4;5,9;6,2;6,5;6,7;6,9;1º ao 5º ano;3534005
Oriente;Estadual;5,9;6,0;6,6;5,7;5,7;5,9;6,2;6,4;1º ao 5º ano;3534104
Oriente;Pública;6,0;6,1;6,6;5,7;5,7;5,9;6,2;6,4;1º ao 5º ano;3534104
Orindiúva;Municipal;7,0;7,2;7,2;6,2;7,0;7,2;7,4;7,6;1º ao 5º ano;3534203
Orindiúva;Pública;7,0;7,2;7,2;6,2;7,0;7,2;7,4;7,6;1º ao 5º ano;3534203
Orlândia;Municipal;6,3;6,3;6,3;5,5;6,2;6,4;6,7;6,9;1º ao 5º ano;3534302
Orlândia;Pública;6,3;6,3;6,3;5,5;6,2;6,4;6,7;6,9;1º ao 5º ano;3534302
Osasco;Estadual;;;;;5,6;5,9;6,2;6,4;1º ao 5º ano;3534401
Osasco;Municipal;5,9;6,1;6,3;5,9;5,8;6,1;6,3;6,6;1º ao 5º ano;3534401
Osasco;Pública;5,9;6,1;6,3;5,9;5,8;6,1;6,3;6,6;1º ao 5º ano;3534401
Oscar Bressane;Municipal;6,8;7,1;7,1;7,1;6,8;7,0;7,2;7,4;1º ao 5º ano;3534500
Oscar Bressane;Pública;6,8;7,1;7,1;7,1;6,8;7,0;7,2;7,4;1º ao 5º ano;3534500
Osvaldo Cruz;Municipal;6,4;6,3;6,9;6,2;6,3;6,5;6,7;7,0;1º ao 5º ano;3534609
Osvaldo Cruz;Pública;6,4;6,3;6,9;6,2;6,3;6,5;6,7;7,0;1º ao 5º ano;3534609
Ourinhos;Estadual;6,6;6,6;7,2;6,4;5,5;5,8;6,1;6,3;1º ao 5º ano;3534708
Ourinhos;Municipal;6,4;6,8;7,0;6,1;6,1;6,3;6,6;6,8;1º ao 5º ano;3534708
Ourinhos;Pública;6,4;6,8;7,0;6,1;6,0;6,2;6,5;6,7;1º ao 5º ano;3534708
Ouroeste;Estadual;;;;;6,5;6,7;6,9;7,1;1º ao 5º ano;3534757
Ouroeste;Municipal;6,0;6,7;6,5;6,4;6,3;6,5;6,7;6,9;1º ao 5º ano;3534757
Ouroeste;Pública;6,0;6,7;6,5;6,4;6,4;6,7;6,9;7,1;1º ao 5º ano;3534757
Ouro Verde;Municipal;6,6;6,8;6,8;6,7;6,8;7,0;7,2;7,4;1º ao 5º ano;3534807
Ouro Verde;Pública;6,6;6,8;6,8;6,7;6,8;7,0;7,2;7,4;1º ao 5º ano;3534807
Pacaembu;Municipal;6,6;6,6;6,9;6,0;5,9;6,2;6,4;6,7;1º ao 5º ano;3534906
Pacaembu;Pública;6,6;6,6;6,9;6,0;5,9;6,2;6,4;6,7;1º ao 5º ano;3534906
Palestina;Municipal;6,1;6,3;6,2;5,8;6,4;6,6;6,9;7,1;1º ao 5º ano;3535002
Palestina;Pública;6,1;6,3;6,2;5,8;6,4;6,6;6,9;7,1;1º ao 5º ano;3535002
Palmares Paulista;Municipal;6,3;7,2;6,5;6,6;5,7;5,9;6,2;6,4;1º ao 5º ano;3535101
Palmares Paulista;Pública;6,3;7,2;6,5;6,6;5,7;5,9;6,2;6,4;1º ao 5º ano;3535101
Palmeira d'Oeste;Estadual;;;;;6,4;6,6;6,8;7,0;1º ao 5º ano;3535200
Palmeira d'Oeste;Municipal;7,4;7,3;6,7;6,2;7,2;7,4;7,5;7,7;1º ao 5º ano;3535200
Palmeira d'Oeste;Pública;7,4;7,3;6,7;6,2;6,4;6,6;6,8;7,0;1º ao 5º ano;3535200
Palmital;Municipal;6,4;6,6;6,3;5,8;5,8;6,1;6,3;6,5;1º ao 5º ano;3535309
Palmital;Pública;6,4;6,6;6,3;5,8;5,8;6,1;6,3;6,5;1º ao 5º ano;3535309
Panorama;Municipal;6,4;6,4;6,0;5,9;6,3;6,6;6,8;7,0;1º ao 5º ano;3535408
Panorama;Pública;6,4;6,4;6,0;5,9;6,3;6,6;6,8;7,0;1º ao 5º ano;3535408
Paraguaçu Paulista;Municipal;6,4;6,6;6,9;6,1;6,0;6,3;6,5;6,7;1º ao 5º ano;3535507
Paraguaçu Paulista;Pública;6,4;6,6;6,9;6,1;6,0;6,3;6,5;6,7;1º ao 5º ano;3535507
Paraibuna;Municipal;5,9;6,3;6,4;6,3;5,3;5,6;5,8;6,1;1º ao 5º ano;3535606
Paraibuna;Pública;5,9;6,3;6,4;6,3;5,3;5,6;5,9;6,1;1º ao 5º ano;3535606
Paraíso;Municipal;6,7;6,6;6,7;6,2;5,9;6,1;6,4;6,6;1º ao 5º ano;3535705
Paraíso;Pública;6,7;6,6;6,7;6,2;5,9;6,1;6,4;6,6;1º ao 5º ano;3535705
Paranapanema;Municipal;5,7;6,1;6,6;6,0;5,7;5,9;6,2;6,4;1º ao 5º ano;3535804
Paranapanema;Pública;5,7;6,1;6,6;6,0;5,7;5,9;6,2;6,4;1º ao 5º ano;3535804
Paranapuã;Estadual;;;;;5,8;6,1;6,3;6,6;1º ao 5º ano;3535903
Paranapuã;Municipal;6,6;5,8;6,5;6,3;6,5;6,7;6,9;7,1;1º ao 5º ano;3535903
Paranapuã;Pública;6,6;5,8;6,5;6,3;5,8;6,1;6,3;6,6;1º ao 5º ano;3535903
Parapuã;Estadual;;;;;6,1;6,4;6,6;6,8;1º ao 5º ano;3536000
Parapuã;Municipal;6,3;6,8;6,8;6,2;6,2;6,5;6,7;6,9;1º ao 5º ano;3536000
Parapuã;Pública;6,3;6,8;6,8;6,2;6,1;6,4;6,6;6,8;1º ao 5º ano;3536000
Pardinho;Municipal;6,2;6,4;5,7;5,2;5,8;6,1;6,3;6,5;1º ao 5º ano;3536109
Pardinho;Pública;6,2;6,4;5,7;5,2;5,8;6,1;6,3;6,5;1º ao 5º ano;3536109
PariqueraAçu;Estadual;;;;;5,8;6,1;6,3;6,6;1º ao 5º ano;3536208
PariqueraAçu;Municipal;6,0;6,3;6,3;5,9;5,6;5,9;6,2;6,4;1º ao 5º ano;3536208
PariqueraAçu;Pública;6,0;6,3;6,3;5,9;5,8;6,0;6,3;6,5;1º ao 5º ano;3536208
Parisi;Municipal;6,1;6,3;6,1;6,4;6,5;6,8;7,0;7,2;1º ao 5º ano;3536257
Parisi;Pública;6,1;6,3;6,1;6,4;6,5;6,8;7,0;7,2;1º ao 5º ano;3536257
Patrocínio Paulista;Municipal;6,7;6,5;6,4;6,1;6,3;6,5;6,7;7,0;1º ao 5º ano;3536307
Patrocínio Paulista;Pública;6,7;6,5;6,4;6,1;6,3;6,5;6,7;7,0;1º ao 5º ano;3536307
Paulicéia;Municipal;6,4;6,1;7,0;5,9;5,7;6,0;6,2;6,5;1º ao 5º ano;3536406
Paulicéia;Pública;6,4;6,1;7,0;5,9;5,7;6,0;6,2;6,5;1º ao 5º ano;3536406
Paulínia;Estadual;;;;;6,1;6,3;6,6;6,8;1º ao 5º ano;3536505
Paulínia;Municipal;6,4;6,6;6,6;6,3;5,9;6,1;6,4;6,6;1º ao 5º ano;3536505
Paulínia;Pública;6,4;6,6;6,6;6,3;5,7;6,0;6,2;6,5;1º ao 5º ano;3536505
Paulistânia;Municipal;7,4;6,3;7,2;7,1;4,8;5,0;5,3;5,6;1º ao 5º ano;3536570
Paulistânia;Pública;7,4;6,3;7,2;7,1;4,8;5,0;5,3;5,6;1º ao 5º ano;3536570
Paulo de Faria;Municipal;6,0;6,4;6,7;5,9;6,0;6,3;6,5;6,7;1º ao 5º ano;3536604
Paulo de Faria;Pública;6,0;6,4;6,7;5,9;6,0;6,3;6,5;6,7;1º ao 5º ano;3536604
Pederneiras;Estadual;;;;;6,0;6,3;6,5;6,8;1º ao 5º ano;3536703
Pederneiras;Municipal;6,3;6,3;6,2;5,3;5,6;5,8;6,1;6,3;1º ao 5º ano;3536703
Pederneiras;Pública;6,3;6,3;6,2;5,3;5,8;6,0;6,3;6,5;1º ao 5º ano;3536703
Pedra Bela;Municipal;6,1;6,4;6,7;5,7;6,0;6,2;6,4;6,7;1º ao 5º ano;3536802
Pedra Bela;Pública;6,1;6,4;6,7;5,7;6,0;6,2;6,4;6,7;1º ao 5º ano;3536802
Pedranópolis;Municipal;6,7;6,5;7,1;6,7;6,4;6,6;6,8;7,0;1º ao 5º ano;3536901
Pedranópolis;Pública;6,7;6,5;7,1;6,7;6,4;6,6;6,8;7,0;1º ao 5º ano;3536901
Pedregulho;Estadual;;;;;6,0;6,3;6,5;6,7;1º ao 5º ano;3537008
Pedregulho;Municipal;5,5;6,2;6,2;5,7;5,5;5,8;6,0;6,3;1º ao 5º ano;3537008
Pedregulho;Pública;5,5;6,2;6,2;5,7;6,0;6,3;6,5;6,7;1º ao 5º ano;3537008
Pedreira;Municipal;6,8;7,2;7,2;6,6;6,5;6,8;7,0;7,2;1º ao 5º ano;3537107
Pedreira;Pública;6,8;7,2;7,2;6,6;6,5;6,8;7,0;7,2;1º ao 5º ano;3537107
Pedrinhas Paulista;Municipal;6,5;7,3;6,6;6,9;6,3;6,6;6,8;7,0;1º ao 5º ano;3537156
Pedrinhas Paulista;Pública;6,5;7,3;6,6;6,9;6,3;6,6;6,8;7,0;1º ao 5º ano;3537156
Pedro de Toledo;Municipal;6,1;5,8;6,1;6,1;5,4;5,6;5,9;6,2;1º ao 5º ano;3537206
Pedro de Toledo;Pública;6,1;5,8;6,1;6,1;5,4;5,6;5,9;6,2;1º ao 5º ano;3537206
Penápolis;Estadual;6,8;7,0;6,8;6,6;6,0;6,3;6,5;6,7;1º ao 5º ano;3537305
Penápolis;Municipal;6,5;6,8;7,1;7,3;6,0;6,2;6,5;6,7;1º ao 5º ano;3537305
Penápolis;Pública;6,5;6,8;7,1;7,1;6,0;6,2;6,5;6,7;1º ao 5º ano;3537305
Pereira Barreto;Estadual;;;;;6,5;6,8;7,0;7,2;1º ao 5º ano;3537404
Pereira Barreto;Municipal;7,8;7,5;7,7;6,7;6,1;6,3;6,6;6,8;1º ao 5º ano;3537404
Pereira Barreto;Pública;7,8;7,5;7,7;6,7;6,5;6,8;7,0;7,2;1º ao 5º ano;3537404
Pereiras;Municipal;6,4;6,2;6,8;5,8;5,7;5,9;6,2;6,4;1º ao 5º ano;3537503
Pereiras;Pública;6,4;6,2;6,8;5,8;5,7;5,9;6,2;6,4;1º ao 5º ano;3537503
Peruíbe;Estadual;;;;;;;;;1º ao 5º ano;3537602
Peruíbe;Municipal;6,1;6,0;6,0;5,9;5,6;5,8;6,1;6,3;1º ao 5º ano;3537602
Peruíbe;Pública;6,1;6,0;6,0;5,9;5,6;5,8;6,1;6,3;1º ao 5º ano;3537602
Piacatu;Municipal;6,3;7,3;7,3;7,0;6,0;6,3;6,5;6,7;1º ao 5º ano;3537701
Piacatu;Pública;6,3;7,3;7,3;7,0;6,0;6,3;6,5;6,7;1º ao 5º ano;3537701
Piedade;Municipal;6,6;7,0;7,3;6,6;6,0;6,3;6,5;6,7;1º ao 5º ano;3537800
Piedade;Pública;6,6;7,0;7,3;6,6;6,0;6,3;6,5;6,7;1º ao 5º ano;3537800
Pilar do Sul;Municipal;6,5;6,8;7,0;6,6;6,0;6,2;6,5;6,7;1º ao 5º ano;3537909
Pilar do Sul;Pública;6,5;6,8;7,0;6,6;6,0;6,2;6,5;6,7;1º ao 5º ano;3537909
Pindamonhangaba;Estadual;;;;;5,9;6,2;6,4;6,7;1º ao 5º ano;3538006
Pindamonhangaba;Municipal;6,4;6,9;6,8;6,3;6,0;6,3;6,5;6,8;1º ao 5º ano;3538006
Pindamonhangaba;Pública;6,4;6,9;6,8;6,3;5,9;6,2;6,4;6,6;1º ao 5º ano;3538006
Pindorama;Municipal;6,1;6,3;6,7;6,2;5,6;5,9;6,1;6,4;1º ao 5º ano;3538105
Pindorama;Pública;6,1;6,3;6,7;6,2;5,6;5,9;6,1;6,4;1º ao 5º ano;3538105
Pinhalzinho;Municipal;5,9;6,4;6,5;5,8;6,2;6,4;6,7;6,9;1º ao 5º ano;3538204
Pinhalzinho;Pública;5,9;6,4;6,5;5,8;6,2;6,4;6,7;6,9;1º ao 5º ano;3538204
Piquerobi;Estadual;;;;;6,8;7,0;7,2;7,4;1º ao 5º ano;3538303
Piquerobi;Municipal;6,2;6,5;7,1;5,4;5,3;5,6;5,8;6,1;1º ao 5º ano;3538303
Piquerobi;Pública;6,2;6,5;7,1;5,4;6,7;6,9;7,1;7,3;1º ao 5º ano;3538303
Piquete;Municipal;6,3;6,6;6,6;6,1;6,0;6,3;6,5;6,7;1º ao 5º ano;3538501
Piquete;Pública;6,3;6,6;6,6;6,1;6,0;6,3;6,5;6,7;1º ao 5º ano;3538501
Piracaia;Municipal;6,0;6,4;6,7;5,7;5,7;6,0;6,2;6,5;1º ao 5º ano;3538600
Piracaia;Pública;6,0;6,4;6,7;5,7;5,7;6,0;6,2;6,5;1º ao 5º ano;3538600
Piracicaba;Estadual;6,8;7,1;7,4;6,9;6,2;6,4;6,7;6,9;1º ao 5º ano;3538709
Piracicaba;Municipal;6,5;6,8;6,8;6,3;6,0;6,3;6,5;6,7;1º ao 5º ano;3538709
Piracicaba;Pública;6,6;6,8;6,9;6,4;6,2;6,4;6,6;6,9;1º ao 5º ano;3538709
Piraju;Estadual;;;;;6,5;6,7;6,9;7,1;1º ao 5º ano;3538808
Piraju;Municipal;6,3;6,8;6,9;6,3;6,2;6,4;6,6;6,9;1º ao 5º ano;3538808
Piraju;Pública;6,3;6,8;6,9;6,3;6,3;6,5;6,7;6,9;1º ao 5º ano;3538808
Pirajuí;Estadual;;;;;5,5;5,7;6,0;6,3;1º ao 5º ano;3538907
Pirajuí;Municipal;5,7;5,5;5,7;5,4;5,2;5,5;5,8;6,0;1º ao 5º ano;3538907
Pirajuí;Pública;5,7;5,5;5,7;5,4;5,5;5,7;6,0;6,3;1º ao 5º ano;3538907
Pirangi;Estadual;;;;;6,2;6,4;6,7;6,9;1º ao 5º ano;3539004
Pirangi;Municipal;5,6;6,5;6,9;6,1;6,1;6,3;6,6;6,8;1º ao 5º ano;3539004
Pirangi;Pública;5,6;6,5;6,9;6,1;6,2;6,4;6,7;6,9;1º ao 5º ano;3539004
Pirapora do Bom Jesus;Municipal;5,0;5,4;5,1;5,5;5,4;5,7;5,9;6,2;1º ao 5º ano;3539103
Pirapora do Bom Jesus;Pública;5,0;5,4;5,1;5,5;5,4;5,7;5,9;6,2;1º ao 5º ano;3539103
Pirapozinho;Estadual;;;;;6,7;6,9;7,1;7,3;1º ao 5º ano;3539202
Pirapozinho;Municipal;6,0;6,4;6,5;6,5;6,6;6,8;7,0;7,2;1º ao 5º ano;3539202
Pirapozinho;Pública;6,0;6,4;6,5;6,5;6,7;6,9;7,1;7,3;1º ao 5º ano;3539202
Pirassununga;Estadual;;;;;6,0;6,2;6,5;6,7;1º ao 5º ano;3539301
Pirassununga;Municipal;6,3;6,4;6,5;6,1;5,4;5,7;6,0;6,2;1º ao 5º ano;3539301
Pirassununga;Pública;6,3;6,4;6,5;6,1;5,8;6,0;6,3;6,5;1º ao 5º ano;3539301
Piratininga;Estadual;;;;;6,1;6,4;6,6;6,8;1º ao 5º ano;3539400
Piratininga;Municipal;5,4;7,4;6,9;;6,2;6,4;6,6;6,9;1º ao 5º ano;3539400
Piratininga;Pública;5,4;7,4;6,9;;6,1;6,4;6,6;6,8;1º ao 5º ano;3539400
Pitangueiras;Estadual;;;;;5,5;5,7;6,0;6,3;1º ao 5º ano;3539509
Pitangueiras;Municipal;6,2;6,7;6,8;6,5;5,9;6,2;6,4;6,7;1º ao 5º ano;3539509
Pitangueiras;Pública;6,2;6,7;6,8;6,5;5,4;5,6;5,9;6,2;1º ao 5º ano;3539509
Planalto;Municipal;6,1;6,3;6,3;7,2;5,5;5,7;6,0;6,3;1º ao 5º ano;3539608
Planalto;Pública;6,1;6,3;6,3;7,2;5,5;5,7;6,0;6,3;1º ao 5º ano;3539608
Platina;Municipal;6,3;6,3;6,3;6,1;5,1;5,3;5,6;5,9;1º ao 5º ano;3539707
Platina;Pública;6,3;6,3;6,3;6,1;5,1;5,3;5,6;5,9;1º ao 5º ano;3539707
Poá;Estadual;;;;;5,8;6,1;6,3;6,6;1º ao 5º ano;3539806
Poá;Municipal;6,2;6,7;6,6;6,1;6,1;6,3;6,5;6,8;1º ao 5º ano;3539806
Poá;Pública;6,2;6,7;6,6;6,1;5,6;5,9;6,1;6,4;1º ao 5º ano;3539806
Poloni;Estadual;6,3;6,3;6,6;5,7;6,1;6,4;6,6;6,8;1º ao 5º ano;3539905
Poloni;Pública;6,3;6,4;6,6;5,7;6,1;6,4;6,6;6,8;1º ao 5º ano;3539905
Pompéia;Municipal;7,4;7,4;7,5;7,0;6,5;6,7;6,9;7,1;1º ao 5º ano;3540002
Pompéia;Pública;7,4;7,4;7,5;7,0;6,5;6,7;6,9;7,1;1º ao 5º ano;3540002
Pongaí;Estadual;;;;;7,1;7,3;7,4;7,6;1º ao 5º ano;3540101
Pongaí;Municipal;6,3;6,4;6,7;6,5;6,2;6,4;6,6;6,9;1º ao 5º ano;3540101
Pongaí;Pública;6,3;6,4;6,7;6,5;7,1;7,3;7,4;7,6;1º ao 5º ano;3540101
Pontal;Estadual;5,1;;;;5,9;6,1;6,4;6,6;1º ao 5º ano;3540200
Pontal;Municipal;5,2;6,5;7,3;5,7;6,3;6,5;6,7;6,9;1º ao 5º ano;3540200
Pontal;Pública;5,2;6,5;7,3;5,7;5,7;6,0;6,2;6,5;1º ao 5º ano;3540200
Pontalinda;Municipal;5,7;5,8;6,7;5,7;5,5;5,7;6,0;6,3;1º ao 5º ano;3540259
Pontalinda;Pública;5,7;5,8;6,7;5,7;5,5;5,7;6,0;6,3;1º ao 5º ano;3540259
Pontes Gestal;Municipal;6,0;6,7;6,4;;5,8;6,1;6,3;6,5;1º ao 5º ano;3540309
Pontes Gestal;Pública;6,0;6,7;6,4;;5,8;6,1;6,3;6,5;1º ao 5º ano;3540309
Populina;Estadual;;;;;6,4;6,7;6,9;7,1;1º ao 5º ano;3540408
Populina;Municipal;6,9;6,3;;5,7;6,5;6,7;6,9;7,1;1º ao 5º ano;3540408
Populina;Pública;6,9;6,3;;5,7;6,4;6,7;6,9;7,1;1º ao 5º ano;3540408
Porangaba;Municipal;5,7;6,1;6,1;5,9;5,5;5,8;6,0;6,3;1º ao 5º ano;3540507
Porangaba;Pública;5,7;6,1;6,1;5,9;5,5;5,8;6,0;6,3;1º ao 5º ano;3540507
Porto Feliz;Estadual;;;;;6,4;6,6;6,8;7,0;1º ao 5º ano;3540606
Porto Feliz;Municipal;6,0;6,5;6,3;5,8;6,0;6,3;6,5;6,8;1º ao 5º ano;3540606
Porto Feliz;Pública;6,0;6,5;6,3;5,8;6,1;6,4;6,6;6,8;1º ao 5º ano;3540606
Porto Ferreira;Municipal;6,3;6,5;6,2;5,9;5,3;5,6;5,8;6,1;1º ao 5º ano;3540705
Porto Ferreira;Pública;6,3;6,5;6,2;5,9;5,3;5,6;5,8;6,1;1º ao 5º ano;3540705
Potim;Municipal;5,1;5,9;6,2;6,3;5,2;5,5;5,8;6,0;1º ao 5º ano;3540754
Potim;Pública;5,1;5,9;6,2;6,3;5,2;5,5;5,8;6,0;1º ao 5º ano;3540754
Potirendaba;Municipal;6,9;6,6;7,0;6,1;6,3;6,5;6,7;6,9;1º ao 5º ano;3540804
Potirendaba;Pública;6,9;6,6;7,0;6,1;6,3;6,5;6,7;6,9;1º ao 5º ano;3540804
Pracinha;Estadual;;;;;5,3;5,5;5,8;6,1;1º ao 5º ano;3540853
Pracinha;Municipal;;6,6;5,6;6,6;6,4;6,6;6,8;7,0;1º ao 5º ano;3540853
Pracinha;Pública;;6,6;5,6;6,6;5,3;5,5;5,8;6,1;1º ao 5º ano;3540853
Pradópolis;Municipal;5,9;6,2;6,0;5,8;6,0;6,2;6,5;6,7;1º ao 5º ano;3540903
Pradópolis;Pública;5,9;6,2;6,0;5,8;6,0;6,2;6,5;6,7;1º ao 5º ano;3540903
Praia Grande;Estadual;;;;;;;;;1º ao 5º ano;3541000
Praia Grande;Municipal;5,8;6,4;6,6;6,1;5,6;5,9;6,1;6,4;1º ao 5º ano;3541000
Praia Grande;Pública;5,8;6,4;6,6;6,1;5,6;5,9;6,1;6,4;1º ao 5º ano;3541000
Pratânia;Municipal;5,9;6,2;5,9;;5,3;5,5;5,8;6,1;1º ao 5º ano;3541059
Pratânia;Pública;5,9;6,2;5,9;;5,3;5,5;5,8;6,1;1º ao 5º ano;3541059
Presidente Alves;Estadual;;6,0;6,0;6,3;6,3;6,5;6,7;7,0;1º ao 5º ano;3541109
Presidente Alves;Pública;;6,0;6,0;6,3;6,3;6,5;6,7;7,0;1º ao 5º ano;3541109
Presidente Bernardes;Municipal;6,1;6,2;6,1;6,1;6,0;6,2;6,5;6,7;1º ao 5º ano;3541208
Presidente Bernardes;Pública;6,1;6,2;6,1;6,1;6,0;6,2;6,5;6,7;1º ao 5º ano;3541208
Presidente Epitácio;Estadual;6,5;6,7;6,8;6,6;5,9;6,1;6,4;6,6;1º ao 5º ano;3541307
Presidente Epitácio;Municipal;5,9;6,3;6,0;6,5;5,9;6,1;6,4;6,6;1º ao 5º ano;3541307
Presidente Epitácio;Pública;6,4;6,6;6,6;6,6;5,9;6,1;6,4;6,6;1º ao 5º ano;3541307
Presidente Prudente;Estadual;;;;;6,5;6,7;6,9;7,1;1º ao 5º ano;3541406
Presidente Prudente;Municipal;6,4;6,5;6,7;6,0;5,9;6,1;6,4;6,6;1º ao 5º ano;3541406
Presidente Prudente;Pública;6,4;6,5;6,7;6,0;6,5;6,7;6,9;7,1;1º ao 5º ano;3541406
Presidente Venceslau;Estadual;;;;;6,9;7,1;7,3;7,5;1º ao 5º ano;3541505
Presidente Venceslau;Municipal;7,1;7,3;7,2;6,7;5,9;6,2;6,4;6,6;1º ao 5º ano;3541505
Presidente Venceslau;Pública;7,1;7,3;7,2;6,7;6,5;6,7;6,9;7,2;1º ao 5º ano;3541505
Promissão;Estadual;6,4;6,1;6,7;6,1;6,6;6,8;7,0;7,2;1º ao 5º ano;3541604
Promissão;Municipal;6,1;6,6;6,3;6,1;5,7;6,0;6,2;6,5;1º ao 5º ano;3541604
Promissão;Pública;6,2;6,4;6,5;6,1;6,4;6,6;6,8;7,0;1º ao 5º ano;3541604
Quadra;Municipal;5,9;5,9;6,4;6,0;5,7;6,0;6,2;6,5;1º ao 5º ano;3541653
Quadra;Pública;5,9;5,9;6,4;6,0;5,7;6,0;6,2;6,5;1º ao 5º ano;3541653
Quatá;Municipal;5,7;6,7;7,2;6,5;6,1;6,3;6,5;6,8;1º ao 5º ano;3541703
Quatá;Pública;5,7;6,7;7,2;6,5;6,1;6,3;6,5;6,8;1º ao 5º ano;3541703
Queiroz;Estadual;;;;;5,7;5,9;6,2;6,4;1º ao 5º ano;3541802
Queiroz;Municipal;6,5;6,6;6,0;6,0;4,6;4,9;5,2;5,5;1º ao 5º ano;3541802
Queiroz;Pública;6,5;6,6;6,0;6,0;5,3;5,6;5,8;6,1;1º ao 5º ano;3541802
Queluz;Municipal;5,3;5,3;6,0;6,2;5,8;6,1;6,3;6,5;1º ao 5º ano;3541901
Queluz;Pública;5,3;5,3;6,0;6,2;5,8;6,1;6,3;6,5;1º ao 5º ano;3541901
Quintana;Municipal;7,0;7,8;7,3;5,8;6,0;6,3;6,5;6,7;1º ao 5º ano;3542008
Quintana;Pública;7,0;7,8;7,3;5,8;6,0;6,3;6,5;6,7;1º ao 5º ano;3542008
Rafard;Municipal;6,2;6,4;6,5;6,7;6,0;6,3;6,5;6,8;1º ao 5º ano;3542107
Rafard;Pública;6,2;6,4;6,5;6,7;6,0;6,3;6,5;6,8;1º ao 5º ano;3542107
Rancharia;Estadual;;7,2;6,4;6,1;5,6;5,8;6,1;6,3;1º ao 5º ano;3542206
Rancharia;Municipal;6,0;7,0;7,0;5,9;5,9;6,1;6,4;6,6;1º ao 5º ano;3542206
Rancharia;Pública;6,0;7,0;7,0;5,9;5,9;6,1;6,4;6,6;1º ao 5º ano;3542206
Redenção da Serra;Municipal;6,6;6,5;6,9;6,3;5,4;5,7;5,9;6,2;1º ao 5º ano;3542305
Redenção da Serra;Pública;6,6;6,5;6,9;6,3;5,4;5,7;5,9;6,2;1º ao 5º ano;3542305
Regente Feijó;Municipal;6,3;6,8;6,9;6,7;6,3;6,5;6,7;7,0;1º ao 5º ano;3542404
Regente Feijó;Pública;6,3;6,8;6,9;6,7;6,3;6,5;6,7;7,0;1º ao 5º ano;3542404
Reginópolis;Municipal;6,0;6,9;6,6;6,1;5,1;5,4;5,7;5,9;1º ao 5º ano;3542503
Reginópolis;Pública;6,0;6,9;6,6;6,1;5,1;5,4;5,7;5,9;1º ao 5º ano;3542503
Registro;Estadual;;;;;5,7;6,0;6,2;6,5;1º ao 5º ano;3542602
Registro;Municipal;6,2;6,8;7,0;6,1;6,2;6,5;6,7;6,9;1º ao 5º ano;3542602
Registro;Pública;6,2;6,8;7,0;6,1;6,1;6,4;6,6;6,8;1º ao 5º ano;3542602
Restinga;Municipal;5,1;6,2;6,5;5,7;6,0;6,3;6,5;6,7;1º ao 5º ano;3542701
Restinga;Pública;5,1;6,2;6,5;5,7;6,0;6,3;6,5;6,7;1º ao 5º ano;3542701
Ribeira;Estadual;6,7;6,1;;;5,7;6,0;6,2;6,5;1º ao 5º ano;3542800
Ribeira;Municipal;;;6,0;5,7;;;;6,3;1º ao 5º ano;3542800
Ribeira;Pública;6,7;6,1;6,0;5,7;5,7;6,0;6,2;6,5;1º ao 5º ano;3542800
Ribeirão Bonito;Municipal;5,6;6,1;6,0;5,8;5,3;5,5;5,8;6,1;1º ao 5º ano;3542909
Ribeirão Bonito;Pública;5,6;6,1;6,0;5,8;5,3;5,5;5,8;6,1;1º ao 5º ano;3542909
Ribeirão Branco;Municipal;6,7;6,9;6,9;6,2;5,5;5,8;6,1;6,3;1º ao 5º ano;3543006
Ribeirão Branco;Pública;6,7;6,9;6,9;6,2;5,5;5,8;6,1;6,3;1º ao 5º ano;3543006
Ribeirão Corrente;Municipal;5,8;6,5;6,6;5,9;5,1;5,3;5,6;5,9;1º ao 5º ano;3543105
Ribeirão Corrente;Pública;5,8;6,5;6,6;5,9;5,1;5,3;5,6;5,9;1º ao 5º ano;3543105
Ribeirão do Sul;Municipal;6,4;6,9;6,7;6,2;6,4;6,6;6,8;7,0;1º ao 5º ano;3543204
Ribeirão do Sul;Pública;6,4;6,9;6,7;6,2;6,4;6,6;6,8;7,0;1º ao 5º ano;3543204
Ribeirão dos Índios;Estadual;;;;;5,8;6,0;6,3;6,5;1º ao 5º ano;3543238
