cod_ibge;municipio;ano;de_00a03anos;de_04e05anos;de_06a10anos;de_11a14anos;de_15a17anos;populacao_total;ate17anos;demais_idades;partic_ate17anos
3546702;Santa Gertrudes;2000;1.250;593;1.407;1.105;883;15.845;5.238;10.607;33,06
3546801;Santa Isabel;2000;3.388;1.634;4.220;3.596;2.734;43.682;15.572;28.110;35,65
3546900;Santa Lucia;2000;647;295;755;650;472;7.837;2.819;5.018;35,97
3547007;Santa Maria da Serra;2000;343;180;480;403;294;4.669;1.700;2.969;36,41
3547106;Santa Mercedes;2000;170;95;260;223;180;2.805;928;1.877;33,08
3547205;Santana da Ponte Pensa;2000;92;42;132;136;104;1.898;506;1.392;26,66
3547304;Santana de Parnaíba;2000;6.062;2.970;7.646;6.477;5.047;74.343;28.202;46.141;37,93
3547403;Santa Rita d'Oeste;2000;107;74;218;191;147;2.701;737;1.964;27,29
3547502;Santa Rita do Passa Quatro;2000;1.330;707;1.961;1.778;1.434;26.118;7.210;18.908;27,61
3547601;Santa Rosa do Viterbo;2000;1.383;734;1.953;1.651;1.273;21.413;6.994;14.419;32,66
3547650;Santa Salete;2000;54;31;100;95;72;1.379;352;1.027;25,53
3547700;Santo Anastácio;2000;1.277;695;1.837;1.526;1.176;20.741;6.511;14.230;31,39
3547809;Santo André;2000;38.239;18.913;50.009;44.612;36.626;649.000;188.399;460.601;29,03
3547908;Santo Antonio da Alegria;2000;365;162;480;487;377;5.757;1.871;3.886;32,5
3548005;Santo Antonio da Posse;2000;1.343;636;1.603;1.354;1.056;18.074;5.992;12.082;33,15
3548054;Santo Antonio do Aracanguá;2000;407;249;676;552;394;6.930;2.278;4.652;32,87
3548104;Santo Antonio do Jardim;2000;379;194;528;465;355;6.150;1.921;4.229;31,24
3548203;Santo Antonio do Pinhal;2000;535;238;607;526;374;6.318;2.280;4.038;36,09
3548302;Santo Expedito;2000;142;81;225;189;140;2.523;777;1.746;30,8
3548401;Santópolis do Aguapeí;2000;245;130;373;338;232;3.816;1.318;2.498;34,54
3548500;Santos;2000;21.028;10.213;26.587;24.178;21.334;417.975;103.340;314.635;24,72
3548609;São Bento do Sapucaí;2000;672;347;908;758;568;10.339;3.253;7.086;31,46
3548708;São Bernardo do Campo;2000;47.361;23.326;59.931;51.275;41.149;701.756;223.042;478.714;31,78
