cod_ibge;municipio;ano;de_00a03anos;de_04e05anos;de_06a10anos;de_11a14anos;de_15a17anos;populacao_total;ate17anos;demais_idades;partic_ate17anos
3532157;Nantes;2010;151;87;245;208;144;2.703;835;1.868;30,89
3532207;Narandiba;2010;234;131;348;302;261;4.283;1.276;3.007;29,79
3532306;Natividade da Serra;2010;339;148;478;498;324;6.680;1.787;4.893;26,75
3532405;Nazaré Paulista;2010;773;413;1.246;1.179;828;16.396;4.439;11.957;27,07
3532504;Neves Paulista;2010;305;161;461;435;341;8.773;1.703;7.070;19,41
3532603;Nhandeara;2010;422;200;553;531;428;10.720;2.134;8.586;19,91
3532702;Nipoã;2010;240;107;275;252;200;4.264;1.074;3.190;25,19
3532801;Nova Aliança;2010;300;126;371;376;263;5.881;1.436;4.445;24,42
3532827;Nova Campina;2010;545;284;881;850;570;8.504;3.130;5.374;36,81
3532843;Nova Canaã Paulista;2010;73;38;117;124;84;2.117;436;1.681;20,6
3532868;Nova Castilho;2010;65;23;71;81;62;1.124;302;822;26,87
3532900;Nova Europa;2010;584;271;701;607;455;9.281;2.618;6.663;28,21
3533007;Nova Granada;2010;957;441;1.282;1.249;899;19.161;4.828;14.333;25,2
3533106;Nova Guataporanga;2010;92;47;145;139;91;2.176;514;1.662;23,62
3533205;Nova Independência;2010;184;93;242;206;163;3.058;888;2.170;29,04
3533254;Novais;2010;320;147;349;284;254;4.578;1.354;3.224;29,58
3533304;Nova Lusitânia;2010;186;94;248;205;146;3.435;879;2.556;25,59
3533403;Nova Odessa;2010;2.527;1.251;3.488;3.228;2.470;51.158;12.964;38.194;25,34
3533502;Novo Horizonte;2010;1.783;936;2.500;2.159;1.662;36.556;9.040;27.516;24,73
3533601;Nuporanga;2010;330;165;462;432;323;6.813;1.712;5.101;25,13
3533700;Ocauçu;2010;231;110;304;272;202;4.163;1.119;3.044;26,88
3533809;Óleo;2010;114;72;206;176;135;2.676;703;1.973;26,27
3533908;Olímpia;2010;2.490;1.253;3.261;2.829;2.275;49.989;12.108;37.881;24,22
3534005;Onda Verde;2010;197;110;302;262;194;3.880;1.065;2.815;27,45
3534104;Oriente;2010;255;143;412;375;284;6.095;1.469;4.626;24,1
3534203;Orindiúva;2010;331;166;440;380;281;5.660;1.598;4.062;28,23
3534302;Orlândia;2010;1.903;1.013;2.817;2.527;1.956;39.748;10.216;29.532;25,7
3534401;Osasco;2010;36.281;17.820;49.335;44.571;31.632;666.621;179.639;486.982;26,95
3534500;Oscar Bressane;2010;119;54;139;131;111;2.537;554;1.983;21,84
3534609;Osvaldo Cruz;2010;1.216;608;1.758;1.713;1.349;30.906;6.644;24.262;21,5
3534708;Ourinhos;2010;5.371;2.648;7.241;6.575;5.063;102.955;26.898;76.057;26,13
3534757;Ouroeste;2010;426;198;557;536;422;8.385;2.139;6.246;25,51
3534807;Ouro Verde;2010;417;225;606;518;398;7.794;2.164;5.630;27,76
3534906;Pacaembu;2010;521;233;640;622;481;13.220;2.497;10.723;18,89
3535002;Palestina;2010;557;231;621;615;501;11.033;2.525;8.508;22,89
3535101;Palmares Paulista;2010;683;312;808;732;553;10.910;3.088;7.822;28,3
3535200;Palmeira d'Oeste;2010;373;207;606;566;425;9.590;2.177;7.413;22,7
3535309;Palmital;2010;1.030;461;1.358;1.346;950;21.182;5.145;16.037;24,29
3535408;Panorama;2010;875;437;1.174;1.035;791;14.575;4.312;10.263;29,58
3535507;Paraguaçu Paulista;2010;2.157;1.078;3.023;2.806;2.148;42.255;11.212;31.043;26,53
3535606;Paraibuna;2010;917;455;1.341;1.291;932;17.385;4.936;12.449;28,39
3535705;Paraíso;2010;308;133;380;377;280;5.894;1.478;4.416;25,08
3535804;Paranapanema;2010;1.015;507;1.525;1.456;985;17.788;5.488;12.300;30,85
3535903;Paranapuã;2010;156;94;280;251;188;3.813;969;2.844;25,41
3536000;Parapuã;2010;464;255;711;637;505;10.846;2.572;8.274;23,71
3536109;Pardinho;2010;327;170;474;419;295;5.574;1.685;3.889;30,23
3536208;Pariquera-Açu;2010;1.030;509;1.539;1.482;1.020;18.439;5.580;12.859;30,26
3536257;Parisi;2010;90;44;119;109;84;2.031;446;1.585;21,96
3536307;Patrocínio Paulista;2010;763;379;996;875;707;12.986;3.720;9.266;28,65
3536406;Paulicéia;2010;340;186;522;460;344;6.330;1.852;4.478;29,26
3536505;Paulínia;2010;4.584;2.352;6.193;5.255;3.939;81.825;22.323;59.502;27,28
3536570;Paulistânia;2010;69;48;149;130;88;1.779;484;1.295;27,21
3536604;Paulo de Faria;2010;431;226;636;573;425;8.588;2.291;6.297;26,68
3536703;Pederneiras;2010;2.283;1.102;3.144;2.988;2.252;41.454;11.769;29.685;28,39
3536802;Pedra Bela;2010;274;128;400;408;289;5.779;1.499;4.280;25,94
3536901;Pedranópolis;2010;100;61;173;142;106;2.559;582;1.977;22,74
3537008;Pedregulho;2010;880;443;1.197;1.071;831;15.694;4.422;11.272;28,18
3537107;Pedreira;2010;1.950;1.002;2.788;2.526;1.881;41.501;10.147;31.354;24,45
3537156;Pedrinhas Paulista;2010;129;66;202;203;147;2.939;747;2.192;25,42
3537206;Pedro de Toledo;2010;619;332;950;841;568;10.195;3.310;6.885;32,47
3537305;Penápolis;2010;2.794;1.380;3.799;3.517;2.799;58.477;14.289;44.188;24,44
3537404;Pereira Barreto;2010;1.348;593;1.628;1.586;1.259;24.963;6.414;18.549;25,69
3537503;Pereiras;2010;409;204;552;492;369;7.443;2.026;5.417;27,22
3537602;Peruíbe;2010;3.512;1.719;4.954;4.577;3.096;59.698;17.858;41.840;29,91
3537701;Piacatu;2010;265;122;340;334;269;5.281;1.330;3.951;25,18
3537800;Piedade;2010;2.747;1.312;3.951;3.897;2.755;52.126;14.662;37.464;28,13
3537909;Pilar do Sul;2010;1.418;783;2.199;1.957;1.488;26.385;7.845;18.540;29,73
3538006;Pindamonhangaba;2010;7.978;4.020;11.396;10.449;7.532;146.807;41.375;105.432;28,18
3538105;Pindorama;2010;709;338;919;855;666;15.022;3.487;11.535;23,21
3538204;Pinhalzinho;2010;622;321;927;857;630;13.086;3.357;9.729;25,65
3538303;Piquerobi;2010;162;87;238;214;184;3.537;885;2.652;25,02
3538501;Piquete;2010;681;360;964;853;719;14.116;3.577;10.539;25,34
3538600;Piracaia;2010;1.230;581;1.784;1.803;1.285;25.101;6.683;18.418;26,62
3538709;Piracicaba;2010;17.751;8.925;24.901;22.744;16.863;364.261;91.184;273.077;25,03
3538808;Piraju;2010;1.367;727;2.074;1.890;1.396;28.470;7.454;21.016;26,18
3538907;Pirajuí;2010;937;472;1.305;1.216;943;22.681;4.873;17.808;21,48
3539004;Pirangi;2010;443;218;638;626;486;10.618;2.411;8.207;22,71
3539103;Pirapora do Bom Jesus;2010;1.051;532;1.554;1.417;909;15.702;5.463;10.239;34,79
3539202;Pirapozinho;2010;1.210;596;1.738;1.686;1.280;24.671;6.510;18.161;26,39
3539301;Pirassununga;2010;3.449;1.645;4.609;4.327;3.255;70.036;17.285;52.751;24,68
3539400;Piratininga;2010;523;292;869;790;534;12.059;3.008;9.051;24,94
3539509;Pitangueiras;2010;2.118;1.095;2.975;2.594;1.909;35.270;10.691;24.579;30,31
3539608;Planalto;2010;265;136;343;274;216;4.456;1.234;3.222;27,69
3539707;Platina;2010;187;91;261;232;149;3.189;920;2.269;28,85
3539806;Poá;2010;6.079;2.943;8.459;7.949;5.601;105.924;31.031;74.893;29,3
3539905;Poloni;2010;293;122;298;265;226;5.390;1.204;4.186;22,34
3540002;Pompéia;2010;937;463;1.358;1.282;871;19.948;4.911;15.037;24,62
3540101;Pongaí;2010;125;68;198;191;152;3.483;734;2.749;21,07
3540200;Pontal;2010;2.688;1.254;3.228;2.789;2.039;40.142;11.998;28.144;29,89
3540259;Pontalinda;2010;236;111;285;251;201;4.069;1.084;2.985;26,64
3540309;Pontes Gestal;2010;118;57;169;161;120;2.518;625;1.893;24,82
3540408;Populina;2010;196;90;253;251;200;4.225;990;3.235;23,43
3540507;Porangaba;2010;398;214;608;545;404;8.310;2.169;6.141;26,1
3540606;Porto Feliz;2010;2.510;1.238;3.560;3.354;2.411;48.864;13.073;35.791;26,75
3540705;Porto Ferreira;2010;2.671;1.344;3.558;3.113;2.431;51.366;13.117;38.249;25,54
3540754;Potim;2010;1.139;542;1.454;1.296;889;19.340;5.320;14.020;27,51
3540804;Potirendaba;2010;721;366;923;783;673;15.433;3.466;11.967;22,46
3540853;Pracinha;2010;82;46;115;101;83;2.842;427;2.415;15,02
3540903;Pradópolis;2010;1.007;488;1.263;1.093;834;17.334;4.685;12.649;27,03
3541000;Praia Grande;2010;15.005;7.518;20.768;18.318;12.656;261.391;74.265;187.126;28,41
3541059;Pratânia;2010;242;144;404;356;261;4.593;1.407;3.186;30,63
3541109;Presidente Alves;2010;217;90;263;269;193;4.125;1.032;3.093;25,02
3541208;Presidente Bernardes;2010;509;285;818;778;663;13.579;3.053;10.526;22,48
3541307;Presidente Epitácio;2010;2.173;1.133;3.135;2.792;2.083;41.301;11.316;29.985;27,4
3541406;Presidente Prudente;2010;9.917;4.954;13.583;12.399;9.697;207.449;50.550;156.899;24,37
3541505;Presidente Venceslau;2010;1.642;789;2.305;2.243;1.657;37.905;8.636;29.269;22,78
3541604;Promissão;2010;1.915;984;2.619;2.294;1.823;35.633;9.635;25.998;27,04
3541653;Quadra;2010;185;95;243;210;159;3.231;892;2.339;27,61
3541703;Quatá;2010;717;350;951;864;677;12.789;3.559;9.230;27,83
3541802;Queiroz;2010;155;95;264;219;144;2.802;877;1.925;31,3
3541901;Queluz;2010;611;361;936;729;563;11.289;3.200;8.089;28,35
3542008;Quitana;2010;280;141;418;394;286;5.999;1.519;4.480;25,32
3542107;Rafard;2010;436;239;639;538;401;8.610;2.253;6.357;26,17
3542206;Rancharia;2010;1.382;760;2.089;1.836;1.463;28.804;7.530;21.274;26,14
3542305;Redenção da Serra;2010;215;103;299;289;208;3.874;1.114;2.760;28,76
3542404;Regente Feijó;2010;944;429;1.220;1.183;884;18.481;4.660;13.821;25,22
3542503;Reginópolis;2010;271;149;354;322;339;7.297;1.435;5.862;19,67
3542602;Registro;2010;3.034;1.577;4.616;4.231;2.870;54.257;16.328;37.929;30,09
3542701;Restinga;2010;426;214;593;518;347;6.578;2.098;4.480;31,89
3542800;Ribeira;2010;192;106;305;264;189;3.359;1.056;2.303;31,44
3542909;Ribeirão Bonito;2010;738;359;938;818;616;12.127;3.469;8.658;28,61
3543006;Ribeirão Branco;2010;1.167;620;1.886;1.763;1.172;18.292;6.608;11.684;36,13
3543105;Ribeirão Corrente;2010;262;126;358;338;228;4.270;1.312;2.958;30,73
3543204;Ribeirão do Sul;2010;213;94;301;312;211;4.446;1.131;3.315;25,44
3543238;Ribeirão dos Índios;2010;89;43;145;151;90;2.187;518;1.669;23,69
3543253;Ribeirão Grande;2010;415;207;607;572;400;7.422;2.201;5.221;29,66
3543303;Ribeirão Pires;2010;5.514;2.751;7.856;7.322;5.294;112.994;28.737;84.257;25,43
3543402;Ribeirão Preto;2010;28.560;14.492;39.085;35.000;27.494;603.774;144.631;459.143;23,95
3543501;Riversul;2010;369;165;475;464;351;6.171;1.824;4.347;29,56
3543600;Rifaina;2010;161;91;251;215;160;3.435;878;2.557;25,56
3543709;Rincão;2010;612;296;817;744;550;10.413;3.019;7.394;28,99
3543808;Rinópolis;2010;456;247;636;542;455;9.938;2.336;7.602;23,51
3543907;Rio Claro;2010;8.924;4.302;12.023;11.280;8.551;186.095;45.080;141.015;24,22
3544004;Rio das Pedras;2010;1.708;849;2.275;1.982;1.420;29.445;8.234;21.211;27,96
3544103;Rio Grande da Serra;2010;2.649;1.330;3.721;3.338;2.338;43.912;13.376;30.536;30,46
3544202;Riolândia;2010;578;284;724;609;445;10.556;2.640;7.916;25,01
3544251;Rosana;2010;1.012;510;1.605;1.627;1.183;19.725;5.937;13.788;30,1
3544301;Roseira;2010;534;272;736;648;510;9.590;2.700;6.890;28,15
3544400;Rubiácea;2010;148;79;205;174;138;2.725;744;1.981;27,3
3544509;Rubinéia;2010;111;58;179;176;118;2.860;642;2.218;22,45
3544608;Sabino;2010;259;124;337;320;273;5.215;1.313;3.902;25,18
3544707;Sagres;2010;104;60;182;171;125;2.395;642;1.753;26,81
3544806;Sales;2010;261;150;390;312;249;5.443;1.362;4.081;25,02
3544905;Sales Oliveira;2010;501;253;712;669;521;10.557;2.656;7.901;25,16
3545001;Salesópolis;2010;878;458;1.308;1.177;825;15.624;4.646;10.978;29,74
3545100;Salmourão;2010;240;129;355;322;267;4.814;1.313;3.501;27,27
3545159;Saltinho;2010;292;158;443;401;321;7.047;1.615;5.432;22,92
3545209;Salto;2010;5.443;2.647;7.402;6.963;5.391;105.407;27.846;77.561;26,42
3545308;Salto de Pirapora;2010;2.212;1.061;3.096;2.982;2.150;40.087;11.501;28.586;28,69
3545407;Salto Grande;2010;461;245;691;606;432;8.784;2.435;6.349;27,72
3545506;Sandovalina;2010;232;106;303;292;210;3.693;1.143;2.550;30,95
3545605;Santa Adélia;2010;690;363;1.007;903;686;14.325;3.649;10.676;25,47
3545704;Santa Albertina;2010;231;120;324;300;264;5.722;1.239;4.483;21,65
3545803;Santa Bárbara d'Oeste;2010;8.490;4.242;11.609;10.741;8.708;179.924;43.790;136.134;24,34
3546009;Santa Branca;2010;732;357;1.016;946;690;13.757;3.741;10.016;27,19
3546108;Santa Clara d'Oeste;2010;79;46;135;129;99;2.084;488;1.596;23,42
3546207;Santa Cruz da Conceição;2010;196;89;262;261;190;3.998;998;3.000;24,96
3546256;Santa Cruz da Esperança;2010;113;50;152;153;108;1.952;576;1.376;29,51
3546306;Santa Cruz das Palmeiras;2010;1.670;843;2.249;1.966;1.500;29.893;8.228;21.665;27,52
3546405;Santa Cruz do Rio Pardo;2010;2.337;1.139;3.127;2.850;2.158;43.895;11.611;32.284;26,45
3546504;Santa Ernestina;2010;314;152;411;379;298;5.569;1.554;4.015;27,9
3546603;Santa Fé do Sul;2010;1.219;589;1.709;1.684;1.324;29.215;6.525;22.690;22,33
3546702;Santa Gertrudes;2010;1.323;622;1.687;1.515;1.059;21.579;6.206;15.373;28,76
3546801;Santa Isabel;2010;2.764;1.407;3.988;3.636;2.609;50.393;14.404;35.989;28,58
3546900;Santa Lucia;2010;520;202;603;640;427;8.245;2.392;5.853;29,01
3547007;Santa Maria da Serra;2010;332;167;425;356;294;5.406;1.574;3.832;29,12
3547106;Santa Mercedes;2010;138;85;233;189;143;2.831;788;2.043;27,83
3547205;Santana da Ponte Pensa;2010;56;29;81;77;56;1.643;299;1.344;18,2
3547304;Santana de Parnaíba;2010;6.335;3.216;9.088;8.231;5.812;108.474;32.682;75.792;30,13
3547403;Santa Rita d'Oeste;2010;74;50;139;125;113;2.544;501;2.043;19,69
3547502;Santa Rita do Passa Quatro;2010;1.132;537;1.512;1.449;1.127;26.475;5.757;20.718;21,75
3547601;Santa Rosa do Viterbo;2010;1.235;536;1.574;1.599;1.179;23.841;6.123;17.718;25,68
3547650;Santa Salete;2010;55;22;76;81;62;1.446;296;1.150;20,47
3547700;Santo Anastácio;2010;958;457;1.339;1.325;1.028;20.477;5.107;15.370;24,94
3547809;Santo André;2010;31.575;15.539;42.588;38.719;29.053;676.177;157.474;518.703;23,29
3547908;Santo Antonio da Alegria;2010;306;148;425;407;301;6.299;1.587;4.712;25,19
3548005;Santo Antonio da Posse;2010;1.150;568;1.603;1.470;1.027;20.628;5.818;14.810;28,2
3548054;Santo Antonio do Aracanguá;2010;377;183;531;511;385;7.620;1.987;5.633;26,08
3548104;Santo Antonio do Jardim;2010;273;151;420;369;269;5.945;1.482;4.463;24,93
3548203;Santo Antonio do Pinhal;2010;325;180;542;502;344;6.485;1.893;4.592;29,19
3548302;Santo Expedito;2010;128;70;186;166;148;2.801;698;2.103;24,92
3548401;Santópolis do Aguapeí;2010;257;114;306;282;212;4.273;1.171;3.102;27,4
3548500;Santos;2010;17.105;8.416;23.289;21.440;16.286;419.388;86.536;332.852;20,63
3548609;São Bento do Sapucaí;2010;497;252;750;721;533;10.467;2.753;7.714;26,3
3548708;São Bernardo do Campo;2010;39.687;19.076;52.225;47.644;35.182;764.922;193.814;571.108;25,34
3548807;São Caetano do Sul;2010;5.471;2.724;7.535;6.989;5.475;149.185;28.194;120.991;18,9
3548906;São Carlos;2010;10.551;5.215;14.272;13.024;10.034;221.692;53.096;168.596;23,95
3549003;São Francisco;2010;123;68;187;170;130;2.794;678;2.116;24,27
3549102;São João da Boa Vista;2010;3.665;1.888;5.304;4.868;3.694;83.585;19.419;64.166;23,23
3549201;São João das Duas Pontes;2010;119;49;166;191;128;2.567;653;1.914;25,44
3549250;São João de Iracema;2010;93;39;101;107;102;1.779;442;1.337;24,85
3549300;São João do Pau d'Alho;2010;82;33;115;136;96;2.104;462;1.642;21,96
3549409;São Joaquim da Barra;2010;2.358;1.213;3.244;2.828;2.191;46.469;11.834;34.635;25,47
3549508;São José da Bela Vista;2010;553;281;748;636;460;8.403;2.678;5.725;31,87
3549607;São José do Barreiro;2010;219;128;368;310;201;4.078;1.226;2.852;30,06
3549706;São José do Rio Pardo;2010;2.324;1.204;3.315;3.078;2.592;51.885;12.513;39.372;24,12
3549805;São José do Rio Preto;2010;18.494;8.929;24.157;22.127;17.187;407.816;90.894;316.922;22,29
3549904;São José dos Campos;2010;34.004;16.355;45.124;41.502;30.881;629.106;167.866;461.240;26,68
3549953;São Lourenço da Serra;2010;783;368;1.117;1.106;763;13.957;4.137;9.820;29,64
3550001;São Luís do Paraitinga;2010;456;236;721;719;574;10.397;2.706;7.691;26,03
3550100;São Manuel;2010;1.949;970;2.801;2.635;1.908;38.327;10.263;28.064;26,78
3550209;São Miguel Arcanjo;2010;1.833;924;2.666;2.469;1.749;31.445;9.641;21.804;30,66
3550308;São Paulo;2010;569.975;283.400;781.690;699.904;495.864;11.245.983;2.830.833;8.415.150;25,17
3550407;São Pedro;2010;1.515;774;2.234;2.097;1.568;31.629;8.188;23.441;25,89
3550506;São Pedro do Turvo;2010;396;203;584;535;389;7.195;2.107;5.088;29,28
3550605;São Roque;2010;3.749;1.928;5.638;5.264;3.704;78.711;20.283;58.428;25,77
3550704;São Sebastião;2010;4.466;2.216;6.039;5.329;3.804;73.793;21.854;51.939;29,62
3550803;São Sebastião da Grama;2010;611;309;877;818;612;12.102;3.227;8.875;26,67
3550902;São Simão;2010;704;389;1.079;940;683;14.340;3.795;10.545;26,46
3551009;São Vicente;2010;18.396;9.105;25.112;22.591;16.435;332.193;91.639;240.554;27,59
3551108;Sarapuí;2010;482;276;798;695;469;9.016;2.720;6.296;30,17
3551207;Sarutaiá;2010;194;114;297;250;206;3.623;1.061;2.562;29,29
3551306;Sebastianópolis do Sul;2010;144;57;156;160;126;3.027;643;2.384;21,24
3551405;Serra Azul;2010;545;282;792;703;456;11.217;2.778;8.439;24,77
3551504;Serrana;2010;2.443;1.163;3.126;2.819;2.112;38.821;11.663;27.158;30,04
3551603;Serra Negra;2010;1.121;596;1.677;1.518;1.158;26.365;6.070;20.295;23,02
3551702;Sertãozinho;2010;5.828;2.890;7.823;7.024;5.338;109.936;28.903;81.033;26,29
3551801;Sete Barras;2010;857;427;1.189;1.060;754;13.011;4.287;8.724;32,95
3551900;Severínia;2010;922;420;1.182;1.127;810;15.484;4.461;11.023;28,81
3552007;Silveiras;2010;301;167;496;445;282;5.788;1.691;4.097;29,22
3552106;Socorro;2010;1.615;835;2.282;2.056;1.635;36.651;8.423;28.228;22,98
3552205;Sorocaba;2010;29.281;14.507;41.122;38.433;28.566;585.780;151.909;433.871;25,93
3552304;Sud Mennucci;2010;385;190;529;489;377;7.434;1.970;5.464;26,5
3552403;Sumaré;2010;13.986;6.715;18.172;16.390;12.193;240.901;67.456;173.445;28
3552502;Suzano;2010;15.051;7.534;22.050;20.643;14.226;262.179;79.504;182.675;30,32
3552551;Suzanópolis;2010;168;92;252;218;175;3.378;905;2.473;26,79
3552601;Tabapuã;2010;549;251;661;618;506;11.355;2.585;8.770;22,77
3552700;Tabatinga;2010;755;399;1.088;949;705;14.671;3.896;10.775;26,56
3552809;Taboão da Serra;2010;14.485;6.988;19.427;17.563;12.037;244.095;70.500;173.595;28,88
3552908;Taciba;2010;298;151;427;396;301;5.710;1.573;4.137;27,55
3553005;Taguaí;2010;668;303;805;751;611;10.795;3.138;7.657;29,07
3553104;Taiaçu;2010;282;144;432;417;310;5.892;1.585;4.307;26,9
3553203;Taiúva;2010;227;119;326;303;264;5.447;1.239;4.208;22,75
3553302;Tambaú;2010;1.170;594;1.610;1.445;1.147;22.405;5.966;16.439;26,63
3553401;Tanabi;2010;1.042;501;1.425;1.363;1.026;24.042;5.357;18.685;22,28
3553500;Tapiraí;2010;498;261;794;735;459;8.016;2.747;5.269;34,27
3553609;Tapiratiba;2010;580;292;881;898;730;12.739;3.381;9.358;26,54
3553658;Taquaral;2010;118;77;215;176;132;2.726;718;2.008;26,34
3553708;Taquaritinga;2010;2.700;1.382;3.805;3.419;2.581;53.972;13.887;40.085;25,73
3553807;Taquarituba;2010;1.213;583;1.670;1.598;1.197;22.288;6.261;16.027;28,09
3553856;Taquarivaí;2010;317;185;521;448;313;5.145;1.784;3.361;34,67
3553906;Tarabaí;2010;354;205;552;463;371;6.600;1.945;4.655;29,47
3553955;Tarumã;2010;781;383;998;859;664;12.865;3.685;9.180;28,64
3554003;Tatuí;2010;5.832;2.902;8.233;7.604;5.499;107.202;30.070;77.132;28,05
3554102;Taubaté;2010;14.469;7.038;19.595;18.094;13.433;278.379;72.629;205.750;26,09
3554201;Tejupá;2010;288;159;464;406;252;4.813;1.569;3.244;32,6
3554300;Teodoro Sampaio;2010;1.236;631;1.790;1.613;1.122;21.374;6.392;14.982;29,91
3554409;Terra Roxa;2010;465;230;615;549;430;8.498;2.289;6.209;26,94
3554508;Tietê;2010;1.914;910;2.498;2.313;1.737;36.789;9.372;27.417;25,48
3554607;Timburi;2010;133;63;185;184;130;2.647;695;1.952;26,26
3554656;Torre de Pedra;2010;106;55;165;161;113;2.253;600;1.653;26,63
3554706;Torrinha;2010;434;200;563;559;454;9.326;2.210;7.116;23,7
3554755;Trabiju;2010;83;41;126;123;89;1.543;462;1.081;29,94
3554805;Tremembé;2010;2.018;1.023;2.916;2.669;1.853;40.928;10.479;30.449;25,6
3554904;Três Fronteiras;2010;234;104;327;348;254;5.425;1.267;4.158;23,35
3554953;Tuiuti;2010;244;134;382;347;252;5.921;1.359;4.562;22,95
3555000;Tupã;2010;2.844;1.387;3.822;3.529;2.714;63.475;14.296;49.179;22,52
3555109;Tupi Paulista;2010;466;225;678;701;561;14.261;2.631;11.630;18,45
3555208;Turiúba;2010;94;36;97;99;85;1.930;411;1.519;21,3
3555307;Turmalina;2010;63;30;99;113;96;1.981;401;1.580;20,24
3555356;Ubarana;2010;315;171;468;394;269;5.279;1.617;3.662;30,63
3555406;Ubatuba;2010;4.374;2.182;6.469;6.156;4.283;78.693;23.464;55.229;29,82
3555505;Ubirajara;2010;257;119;335;309;213;4.425;1.233;3.192;27,86
3555604;Uchôa;2010;420;215;582;527;424;9.467;2.168;7.299;22,9
3555703;União Paulista;2010;96;39;114;109;73;1.597;431;1.166;26,99
3555802;Urânia;2010;367;205;557;480;386;8.836;1.995;6.841;22,58
3555901;Uru;2010;51;28;80;72;46;1.252;277;975;22,12
3556008;Urupês;2010;494;269;760;697;561;12.706;2.781;9.925;21,89
3556107;Valentim Gentil;2010;531;267;731;670;524;11.013;2.723;8.290;24,73
3556206;Valinhos;2010;4.958;2.391;6.615;6.135;4.620;106.569;24.719;81.850;23,2
3556305;Valparaíso;2010;1.232;548;1.450;1.346;1.030;22.539;5.606;16.933;24,87
3556354;Vargem;2010;442;215;633;603;416;8.784;2.309;6.475;26,29
3556404;Vargem Grande do Sul;2010;2.138;1.035;2.837;2.573;1.895;39.240;10.478;28.762;26,7
3556453;Vargem Grande Paulista;2010;2.582;1.258;3.507;3.156;2.150;42.899;12.653;30.246;29,49
3556503;Várzea Paulista;2010;6.265;3.046;8.258;7.441;5.560;106.961;30.570;76.391;28,58
3556602;Vera Cruz;2010;514;268;752;698;548;10.772;2.780;7.992;25,81
3556701;Vinhedo;2010;3.102;1.537;4.204;3.767;2.728;63.453;15.338;48.115;24,17
3556800;Viradouro;2010;914;434;1.213;1.159;916;17.285;4.636;12.649;26,82
3556909;Vista Alegre do Alto;2010;356;171;462;430;333;6.865;1.752;5.113;25,52
3556958;Vitória Brasil;2010;81;41;105;96;85;1.736;408;1.328;23,5
3557006;Votorantim;2010;5.942;3.025;8.539;7.784;5.636;108.695;30.926;77.769;28,45
3557105;Votuporanga;2010;3.582;1.755;4.940;4.711;3.689;84.612;18.677;65.935;22,07
3557154;Zacarias;2010;118;56;150;139;97;2.331;560;1.771;24,02
3557204;Chavantes;2010;686;312;904;873;620;12.115;3.395;8.720;28,02
3557303;Estiva Gerbi;2010;537;255;723;691;522;10.033;2.728;7.305;27,19
3500105;Adamantina;2015;1.493;670;1.703;1.538;1.268;33.879;6.672;27.207;19,69
3500204;Adolfo;2015;139;71;197;184;147;3.501;738;2.763;21,08
3500303;Aguaí;2015;1.884;940;2.294;1.870;1.594;33.909;8.582;25.327;25,31
3500402;Águas da Prata;2015;300;159;419;364;301;7.700;1.543;6.157;20,04
3500501;Águas de Lindóia;2015;1.074;422;984;890;793;17.851;4.163;13.688;23,32
3500550;Águas de Santa Bárbara;2015;308;150;365;312;303;5.769;1.438;4.331;24,93
3500600;Águas de São Pedro;2015;131;49;118;122;114;2.928;534;2.394;18,24
3500709;Agudos;2015;1.916;942;2.322;1.956;1.734;35.374;8.870;26.504;25,07
3500758;Alambari;2015;271;139;374;344;303;5.341;1.431;3.910;26,79
3500808;Alfredo Marcondes;2015;153;68;191;192;152;3.916;756;3.160;19,31
3500907;Altair;2015;189;115;284;222;189;3.931;999;2.932;25,41
3501004;Altinópolis;2015;742;342;891;839;749;15.562;3.563;11.999;22,9
3501103;Alto Alegre;2015;153;85;217;178;158;4.067;791;3.276;19,45
3501152;Alumínio;2015;1.020;476;1.261;1.146;911;17.415;4.814;12.601;27,64
3501202;Álvares Florence;2015;107;61;166;152;149;3.754;635;3.119;16,92
3501301;Álvares Machado;2015;1.074;521;1.455;1.389;1.130;23.602;5.569;18.033;23,6
3501400;Álvaro de Carvalho;2015;229;108;256;205;179;4.843;977;3.866;20,17
3501509;Alvinlândia;2015;194;94;214;174;171;3.093;847;2.246;27,38
3501608;Americana;2015;10.579;4.925;12.032;10.259;8.860;223.160;46.655;176.505;20,91
3501707;Américo Brasiliense;2015;2.297;1.076;2.564;2.115;1.876;37.497;9.928;27.569;26,48
3501806;Américo de Campos;2015;221;117;308;282;265;5.731;1.193;4.538;20,82
3501905;Amparo;2015;3.138;1.431;3.641;3.281;2.788;67.919;14.279;53.640;21,02
3502002;Analândia;2015;223;117;306;260;207;4.593;1.113;3.480;24,23
3502101;Andradina;2015;2.705;1.260;3.099;2.674;2.337;55.775;12.075;43.700;21,65
3502200;Angatuba;2015;1.259;610;1.576;1.388;1.153;23.362;5.986;17.376;25,62
3502309;Anhembi;2015;319;172;455;398;340;6.172;1.684;4.488;27,28
3502408;Anhumas;2015;176;86;233;224;194;3.856;913;2.943;23,68
3502507;Aparecida;2015;1.885;887;2.191;1.845;1.521;35.363;8.329;27.034;23,55
3502606;Aparecida d'Oeste;2015;166;79;217;212;194;4.283;868;3.415;20,27
3502705;Apiaí;2015;1.415;660;1.759;1.691;1.543;24.703;7.068;17.635;28,61
3502754;Araçariguama;2015;1.304;632;1.544;1.251;1.047;19.138;5.778;13.360;30,19
